@Italian (Theology)@|@English@
@stretto@|@narrow, tight, pressed, cramped, bound, close, near, driven, compelled, urgent, exact, precise, geniune@
@stringere@|@to tighten, to grasp, to compel, to press, to make@
@strumentalizzare@|@to make use of, to manipulate@
@stupire@|@(isc verb)- to astonish, to amaze @
@su@|@on, upon, onto, over, along, about, roughly, up, upwards@
@subire@|@(isc verb)- to suffer, to undergo, to go through, to bear (patire- soffrire)@
@subito@|@immediately, at once, soon, suddenly, sudden@
@succedere@|@to happen, to occur, to follow, to succeed (accadere- avvenire- capitare- occorrere- ricorrere- succedere- svolgersi- verificarsi)@
@successivamente@|@successively, subsequently, then, afterwards, later@
@successivo@|@successive, consecutive, subsequent, following, next, later@
@successo@|@(m- il)- success, hit@
@suddetto@|@above mentioned, aforesaid@
@suggerimento@|@(m- il)- suggestion, hint, indication@
@suggerire @|@(isc verb)- to suggest, to advise, to prompt@
@suggestivo@|@stimulating (i.e. discussion), attractive, striking, tempting, full of charm or character, picturesque@
@suocero@|@(m- il)- father-in-law@
@suolo@|@(m- il)- ground, soil, earth@
@superamento@|@(m- il)- overcoming, surmounting, getting through@
@superare@|@to surpass, to pass, to overcome@
@superbia@|@(f- la)- arrogance, pride, haughtiness@
@superbioso@|@arrogant, haughty, stuck-up@
@superbo@|@(m- il)- proud person, (adj.)- proud, arrogant, haughty, lofty, magnificent, splendid, superb, noble@
@supplica@|@(f- la)- plea, supplication, petition@
@supplicare@|@to beg, to implore, to beseech, to plead with, to entreat@
@supporre@|@to suppose, to assume, to imagine@
@suscitare@|@to stir up, to excite, to provoke, to cause, to give rise to, to kindle@
@susseguente@|@subsequent, following@
@sussidio@|@(m- il)- aid (study aid), help, subsidy, grant, benefit, welfare @
@sussistente@|@existing, valid, sound, subsisting@
@sussistenza@|@(f- la)- existence, subsistence@
@svelamento@|@(m- lo)- revelation, disclosure, unveiling@
@svelare@|@to reveal, to unveil, to reveal, to disclose (rivelare)@
@sventura@|@(f- la)- misfortune, bad luck, tragedy, catastrophe@
@sviluppare@|@to develop, to expand, to increase, to grow, to strengthen, to discuss, to generate, to cause, to untie, to loosen (svolgere)@
@sviluppo@|@(m- lo)- development, growth, evolvement, strengthening@
@svolgere@|@to develop, to treat, to write, to carry out, to perform, to conduct, to do, to unwind (sviluppare- trattare)@
@svolgersi@|@to unfold, to happen, to occur, to take place (accadere- avvenire- capitare- occorrere- ricorrere- succedere- verificarsi), to unwind, to be set, to free oneself from@
@svolgimento@|@(m- lo) - development, treatment, carrying out, execution, progress@
@svolta@|@(f- la)- turning point, change, shift, turn, turning, bend, corner@
@svoltare@|@to turn@
@svolto@|@developed, carried out, dealt with, treated, unwrapped (past part. of svolgere)@
@svuotare@|@to empty, to unload, to purge, to deprive@
@tacere@|@to be silent, to be still, to leave out, to suppress@
@taglia@|@(f- la)- size, height, tribute, duty, ransom, price, reward, bounty@
@taglio@|@(m- il)- cut, tone, denomination, size, edge, opportunity@
@tale@|@such, like that, so, like, this, that, these, those, above-mentioned@
@talmente@|@so, so much, in such a way@
@talora@|@sometimes, now and then, at times (talvolta)@
@taluno@|@someone, some, certain@
@talvolta@|@sometimes, now and then, at times (talora)@
@tanto@|@so much, so many@
@tappa@|@(f- la)- step, stage, halt, stop, lap@
@tappare@|@to plug, to shut up tight, to cork@
@tasso@|@(m- il)- rate@
@taumaturgo@|@(m- il)- performer of miracles@
@tema@|@(f- la)- fear, (m- il)- theme, subject, topic, essay, composition, root, stem (of a word)@
@tematica@|@(f- la)- theme, subject@
@tempesta@|@(f- la)- storm, shower, hail (temporale)@
@tempio@|@(m- il)- temple, monument, church@
@temporale@|@(m- il)- storm, thunderstorm (tempesta), (adj.)- temporal, of time, secular, worldly @
@tenda@|@(f- la)- curtain, tent, awning@
@tendere@|@to tend, to be inclined, to stretch, to reach out, to aim, to prepare@
@tenebre@|@(f- le)- darkness, dark, shadows, night, mystery @
@tenere@|@to hold, to keep, to hold onto, to hold back, to restrain, to support@
@tenere a bada@|@to keep at bay, to hold off@
@tenere conto@|@to consider, to remember, to keep in mind, to calculate, to allow for@
@tenere da conto@|@to take care of, to look after@
@tenerezza@|@(f- la)- tenderness, fondness, love, affection@
@tenore@|@(m- il)- tenor, way, manner, tone@
@tentare@|@to try, to attempt, to tempt, to touch@
@tentativo@|@(m- il)- attempt, try, trial@
@tentazione@|@(f- la)- temptation@
@tenuta@|@(f- la)- holding, grip, strength, capacity, stamina, estate, farm, (pl.)- clothes@
@termine@|@(m- il)- term, date, time, end, close, boundary, limit@
@terremoto@|@(m- il)- earthquake, upheaval, havoc (sisma)@
@tesi@|@(f- la)- thesis, dissertation, theory, proposition, argument@
@teso@|@tight, strained, outstretched, tense, aimed@
@tesoro@|@(m- il)- treasure, treasury, thesaurus@
@tessera@|@(f- la)- card, ticket, pass@
@testa@|@(f- la)- head, mind, brain@
@teste@|@(m- il)- witness, best man@
@testé@|@just now@
@testimone oculare@|@(m- il)- eye witness@
@testo@|@(m- il)- text@
@tetto@|@(m- il)- roof, home, house@
@timbrare@|@to stamp, to postmark@
@timorato@|@respectful, scrupulous@
@timorato di Dio@|@God-fearing@
@tingere@|@to dye, to color, to stain@
@tirare@|@to pull, to draw, to drag, to move, to take, throw, to attract (attirare- attrarre- trarre), to invite, to extract, to go on, to be after, to respond@
@tizio@|@(m- il)- person, someone, fellow, character@
@toccare@|@to touch, to move, to affect (commuovere- intenerire- muovere), to change, to reach, to concern, to affect, to touch on@
@tocco@|@(m- il)- touch, (adj.)- touched@
@togliere@|@to take away- off or down, to remove, to subtract, to deduct, to free, to rescue, to lift, to cut@
@tolto@|@except for, with the exception of, apart from (past part. of togliere)@
@tomo@|@(m- il)- tome, volume, funny person, character@
@tonare@|@to thunder, to boom (tuonare)@
@torcere@|@to wring, to twist, to turn, to bend@
@torcia@|@(f- la)- torch, candle@
@tortura@|@(f- la)- torture, agony, torment@
@tra@|@between, among, amidst, through, in, within, of, among (fra)@
@traboccare@|@to overflow, to brim over, to spill over@
@traccia@|@(f- la)- trace, trail, track, sign, mark (orma- passo- pista- vestigio), outline, plan@
@tracciare@|@to trace, to draw, to sketch, to outline@
@tracciato@|@(m- il)- plan, route, sketch, outline, format, layout, plot (past part. of tracciare)@
@tradimento@|@(m- il)- treason, treachery, betrayal, infidelity, disloyalty@
@tradire@|@(isc verb)- to betray, to be unfaithful to, to fail, to break @
@traditore@|@(m- il)- betrayer, traitor, (adj.)- deceptive, deceitful@
@tradurre@|@to translate, to express, to put into@
@tragitto@|@(m- il)- way, journey, passage, crossing (cammino- percorso)@
@traguardo@|@(m- il)- goal, aim, end, finishing line@
@tralasciare@|@to omit, to leave out, to interrupt, to break@
@tralco @|@(m- lo)- vine branch@
@trama@|@(f- la)- plot, plan, conspiracy, weave, texture@
@tramandare@|@to hand down, to hand on, to transmit@
@tramezzo@|@(m- il)- partition, wall, (adv.)- in between, in the middle@
@tramezzo a@|@in the middle of, among, between@
@tramite@|@(m- il)- path, passage, way, means, intermediary, (prep.)- through, by@
@tramontare@|@to set, to go down (i.e. the sun), to fade, to pass away, to wane@
@tramonto@|@(m- il)- setting, sunset, decline, fading, end, waning@
@tramutare@|@to transform, to change, to turn, to convert (mutare- trasmutare)@
@tranne@|@except, but, apart from@
@trapianto@|@(m- il)- transplant, implant@
@trarre@|@to pull, to drag, to lead, to draw, to bring, to attract (attirare- attrarre- tirare), to get, to obtain (attingere- ottenere- ricavare)@
@trascinare@|@to drag, to carry, to sweep, to carry away, to rouse@
@trascorrere@|@to pass, to move, to go by, to spend (time), to elapse, to glance through@
@trascurabile@|@negligible, minimal, minor, unimportant@
@trascurare@|@to neglect, to disregard, to ignore, to overlook@
@trasmutare@|@to change, to transform (mutare- tramutare)@
@trasversale@|@transverse, diagonal, cross, indirect@
@trattare@|@to treat, to deal with (svolgere), to be about, to cover, to discuss, to talk about, to handle, to take care of, to negotiate, to come to an agreement, to trade, to process, to cure, to be a question of, to be a matter of, to have to do with (ex #1:  Si tratta di vita o di morte. = It's a matter of life or death.)  (ex #2:  Questo articolo tratta dell'origine della Chiesa. = This article is about the origin of the Church.)@
@trattato@|@(m- il)- treatise, treaty, agreement (past part. of trattare)@
@trattenere@|@to keep, to hold back, to restrain, to detain, to stop, to withhold, to entertain@
@tratto@|@(m- il)- tract, passage, section, part, piece, line, stroke, behavior, interval, period of time, (pl.)- manners, features, traits@
@travagliare@|@to trouble, to torment, to toss@
@travagliarsi@|@to trouble oneself, to worry@
@travagliato@|@troubled, tormented, unhappy, hard, difficult@
@travaglio@|@(m- il)- toil, labor, anguish, suffering, trial, pain@
@travisare@|@to distort, to misrepresent, to twist@
@travisarsi@|@to disguise oneself@
@travolgente@|@overwhelming, overpowering, passionate, sweeping, violent@
@travolgere@|@to overwhelm, to rout or crush, to carry or sweep away@
@tregua@|@(f- la)- truce, cease-fire, rest, respite@
@tremendo@|@awful, terrible, frightening, dreadful, tremendous@
@tribunale@|@(m- il)- tribunal, court of law, judgment@
@trionfo@|@(m- il)- triumph, victory, exultation, success, hit, glory, superabundance@
@trono@|@(m- il)- throne@
@truccare@|@to disguise, to camouflage, to make up, to fix, to rig@
@truccato@|@disguised, camouflaged, made up, fixed, rigged (past part. of truccare)@
@trucco@|@(m- il)- trick, trickery, deceit, deception, make-up@
@truffa@|@(f- la)- fraud, swindle, trick@
@truffare@|@to cheat, to defraud, to swindle@
@truffatore@|@(m- il)- cheater, swindler@
@tuonare@|@to thunder, to boom (tonare)@
@tuono@|@(m- il)- thunder, boom@
@turbare@|@to disturb, to upset, to trouble, to worry, to disrupt, to cloud, to cast a shadow on@
@turbato@|@troubled, uneasy, upset, agitated, worried (past part. of turbare)@
@turibolo@|@(m- il)- thurible, censer @
@tutela@|@(f- la)- protection, defense, preservation, guardianship@
@tutt'al più@|@at most, maximum@
@tutt'altro@|@quite the opposite!, far from it!, not at all!@
@tutt'altro che@|@anything but, far from@
@tuttavia@|@however, but, yet  (benchè- comunque- nondimento- per quanto- peraltro- pure), nevertheless (ciononostante- malgrado- nondimento- nonostante)@
@tutti quanti@|@all of you, everyone@
@tuttora@|@still (ancora)@
@uccidere@|@to kill, to murder@
@udire@|@to hear, to listen to@
@uguale@|@(m- l')- equal, the same, (adj.)- same, identical, alike, equal@
@ulteriore@|@further, more@
@ulteriormente@|@further on, later on, subsequently@
@ultimo@|@(m- l')- last, least, end, (adj.)- last, final, latest, newest, most up-to-date, ultimate, supreme, highest, farthest, distant, least@
@ungere@|@to annoint, to oil, to grease@
@unicamente@|@(adv.)- only, solely, exclusively, just (solamente- solo- soltanto)@
@unicità@|@(f- la)- oneness, singleness, uniqueness, individuality@
@unico@|@(m- l')- only one (solo), (adj.)- only, one, single, unique, unparalled (solo)@
@unigenito@|@(m- l')- only child, (adj.)- only-begotten, only@
@unire@|@(isc verb)- to unite, to join, to link, to connect, to add (agganciare- collegare- congiungere- legare- mettere in collegamento)@
@univoco@|@unambiguous, univocal, unequivocal@
@unto@|@(m- l')- annointed, grease, oil, fat, (adj.)- annointed, greasy (past part. of ungere)@
@urlare@|@to shout, to call out, to yell, to scream@
@urtare@|@to knock, to bang, to collide, to run into, to irritate, to annoy, to upset@
@urto@|@(m- l')- collision, impact, knock, bump, conflict, attack, push, shove@
@uscita@|@(f- la)- exit, way out, leaving, release, outflow, publication, issue, outlet, channel, opening, remark, joke@
@uso@|@(m- l')- use, usage, custom, habit, style, way (abitudine- consueto- consuetudine- norma- prassi- regola), (adj.)- used, accustomed@
@vagamente@|@vaguely, dimly, hazily, gracefully@
@vale a dire@|@that is to say, it is as much to say, namely, in other words@
@valente@|@skillful, capable, clever, brave, courageous@
@valere@|@to be worth, to be of value, to be equal to, to be sufficient, to succeed, to mean, to stand for, to produce, to yield@
@valere la pena@|@to be worth it, to be worth the effort@
@valersi@|@to take advantage of, to make use of@
@valicare@|@to cross (ex: a river or over a mountain)@
@valore@|@(m- il)- value, worth, merit, price, bravery, courage, importance, significance, meaning, weight@
@valutare@|@to value, to evaluate, to consider, to weigh, to take into account, to estimate @
@valutazione@|@(f- la)- valuation, evaluation, assessment, estimate, appraisal, judgment, consideration, weighing@
@vanto@|@(m- il)- pride, bragging, merit, credit, glory, honor@
@variegato@|@varied, diversified, diverse, multi-colored, striped@
@vaso@|@(m- il)- vessel, bowl, pot@
@vedova@|@(f- la)- widow@
@veggente@|@(m or f- il or la)- seer, prophet, clairvoyant (indovino)@
@veglia@|@(f- la)- vigil, watch, waking, wakefulness@
@vegliare@|@to watch over, to keep vigil, to stay awake@
@velo@|@(m- il)- veil@
@vena@|@(f- la)- vein, trace, streak, inspiriation, disposition, inclination, mood@
@vendetta@|@(f- la)- revenge, vengeance@
@vendicare@|@to avenge, to vindicate@
@venire al dunque@|@to get to the point, to get down to business@
@ventaglio@|@(m- il)- range, series, fan@
@ventura@|@(f- la)- fortune, luck, chance@
@venturo@|@next, coming, to come, future@
@venuta@|@(f- la)- coming, arrival@
@verace@|@true, truthful, veracious, genuine, real@
@veramente@|@truly, really, indeed, actually, to be quite honest@
@verbo@|@(m- il)- word, verb@
@vergognoso@|@(m- il)- shy person, (adj.)- shameful, disgraceful, ashamed, shy, bashful@
@vergonia@|@(f- la)- shame, disgrace, dishonor, embarrasment, confusion, shyness, bashfulness@
@verificarsi@|@to happen, to take place, to come true (accadere- avvenire- capitare- occorrere- ricorrere- succedere- svolgersi)@
@verità@|@(f- la)- truth, truthfulness, veracity, sincerity@
@veritiero@|@truthful, true@
@verosimile@|@likely, probable, credible, plausible@
@verosimilmente@|@probably, most likely@
@versare@|@to pour, to pour out, to shed, to spill, to empty, to pay, to be, to live, to deal with@
@verso@|@(m- il) - line, verse, direction, way, manner, means, cry, call, back, reverse, (prep.)- towards, in the direction of, around, about, compared with, against@
@vertice@|@(m- il)- top, peak, summit@
@vescovado@|@(m- il)- bishop's residence (vescovato)@
@vescovato@|@(m- il)- bishop's residence (vescovado)@
@vescovo@|@(m- il)- bishop@
@vespro@|@(m- il)- evening, evening prayer, (pl.)- vespers@
@vestigio@|@(m- il)- trace, footprint (orma- passo- pista- traccia), (m. pl. = vestigi, f. pl. = vestigia )- vestiges, remains (orme)@
@veterotestamentario@|@Old Testament@
@vezzo@|@(m- il)- habit, charm, affectation, necklace@
@via@|@(f- la)- street, road, way, means, path, route, career, starting signal, green light, (adv.)- away, off, (inter.)- go away!, be off!, come on!@
@vicenda@|@(f- la)- event, occurrence, series, succession, sequence, cycle@
@vicendevole@|@mutual, reciprocal@
@vicinanza@|@(f- la)- nearness, closeness, proximity, similarity, (pl.)- surroundings@
@vicino@|@(m- il)- neighbor, (adj.)- near, nearby, close, close at hand, coming, next, similar (nei dintorni- prossimo) @
@vietato@|@forbidden, prohibited (past part. of vietare)@
@vigilia@|@(f- la)- watch, vigil, eve, fast@
@vigna@|@(f- la)- vineyard (vigneto)@
@vigneto@|@(m- il)- vineyard (vigna)@
@viltà@|@(f- la)- cowardice, cowardly act, meanness, vileness@
@vincere@|@to win, to overcome, to defeat@
@vincolante@|@binding@
@vincolo@|@(m- il)- chain, link, bond, tie (catena), obligation, binding force, restriction (aggancio- collegamento- legame- nesso- raccordo- rapporto)@
@viscere@|@(f- la)- womb (grembo- seno), (f- pl.- le)- feelings, bowels, (m- pl.- i)- intestines, bowels @
@viso@|@(m- il)- face, look, countenance@
@vissuto@|@(m- il)- experience (adj.)- experienced, lived (past part. of vivere)@
@vitale@|@vital, crucial, essential, dynamic, thriving, flourishing, life, viable@
@vite@|@(f- la)- vine@
@vizio@|@(m- il)- vice, bad habit, addiction, defect, fault, flaw, error@
@voglia@|@(f- la)- will, willingness, desire, longing, lust (brama- lussuria)@
@volentieri@|@willingly, gladly, with pleasure (volontieri)@
@volere@|@(m- il)- will, (pl.)- wishes, (verb)- to will, to want, to wish, to like, to prefer@
@volgare@|@(m- il)- vernacular, (adj.)- vernacular, common, proper, ordinary, vulgar, rude, coarse@
@volgere@|@(m- il)- passing, course (of events or years), (adj.)- to turn, to direct, to bend, to take a turn for, to change, to translate (ex:  volgere la propria attenzione sull'oratore = to turn or direct one's attention to the speaker)@
@volontà@|@(f- la)- will, willpower, wish@
@volontario@|@(m- il)- volunteer, (adj.)- voluntary, intentional, deliberate, wilful, spontaneous@
@volontieri@|@gladly, willingly, with pleasure (volentieri)@
@volpe@|@(f- la)- fox@
@volta@|@(f- la)- time, turn, occasion, direction, vault@
@volto@|@(m- il)- face, countenance, expression, aspect, appearance, facet, (adj.)- turned, directed to, devoted to (past part. of volgere)@
@votare@|@to vote, to devote, to consecrate, to dedicate, to vow@
@votarsi@|@to take a vote, to devote oneself to@
@voto@|@(m- il)- vow, grade, mark, votive offering, wish, vote@
@vouto@|@(m- il)- void, space, emptiness, vaccuum, (adj.)- empty, devoid of, meaningless@
@vuol dire@|@it means@
@zoppicare@|@to limp, to be unsteady, to be weak, to be unsound (i.e. an argument)@
@zoppo@|@(m- lo)- lame person, cripple, (adj.)- lame, limping, unsteady, incomplete@

