@English@|@Sami@
@Tufjord@|@Irevuotna@
@tufted duck@|@vuoktafiehta@
@tulip@|@tulipána@
@tundra@|@tundra@
@tunnel vision@|@gierdooaidnu@
@turbine@|@turbiidna@
@turbo motor@|@turbomohtor, turbomoottori@
@turn@|@mohkki, vuorru@
@turnip@|@návrraš@
@turn-out@|@jienastanproseanta@
@turnstone@|@geaðgejorgu@
@TV@|@TV@
@TV channel@|@TV-kanála@
@tweezers@|@pinseahtat@
@twelve@|@guoktelogi@
@twentieth@|@guoktenuppelogát@
@twenty@|@guoktenuppelohkái@
@twice@|@guktii@
@twin@|@jumeš@
@twite@|@dálveruoivil@
@two@|@guokte@
@two-@|@guovtte-@
@two people alone@|@guovttá@
@two-barred crossbill@|@girjebáhcatloddi@
@two-headed@|@guovtteoaivvat@
@two-wheeled@|@guovttejuvllat@
@type of net@|@nuohtti@
@ugliness@|@fastodat@
@ugly@|@ropmi@
@Uighur@|@Uigur@
@umbrella@|@arvesuodji@
@un~@|@eahpe~@
@uncertain@|@eahpesihkar@
@uncertainty@|@eahpediehtu@
@uncle@|@cheahci, eahki, máhka@
@uncleaned@|@buhtiskeahttá@
@unclear@|@eahpechielggas@
@undemocratical@|@eahpedemokráhtalaš@
@undemocratically@|@eahpedemokráhtalachchat@
@understanding@|@äl'vee-, iel'vee-@
@unemployed@|@bargguheapme, bargguheapmi, bargguhis olmmoš@
@unemployment (1)@|@bargguhisvuohta@
@unevenness@|@moxšE@
@unfair@|@eahperehalaš@
@unfortunately@|@daðibahábut@
@unfrozen@|@sangas@
@unhealthy@|@buohcci@
@unhewn timber@|@jorbahirsa@
@United States of America@|@Ovttastuvvan stáhtat@
@university@|@universiteahtta, universitehta@
@university hospital@|@universitehtbuohcceviessu@
@University of Oulu@|@Oulu universitehta@
@unknown@|@dovdameahttun@
@unofficial@|@eahpevirggálaš@
@unsaturated@|@gallekeahtes@
@unstressed@|@deattoheapme, deattoheapmi@
@until now@|@dássážii@
@unusual@|@eahpedábálaš@
@unwashed@|@basakeahtes, basakeahtes@
@upstream@|@bajás@
@ural owl@|@govuskuolfi@
@Uralic@|@urálalaš@
@Urho Kekkonen National Park@|@Urho Kekkonen Nášuvnnapárka@
@usage@|@atnu, atnu use, giellageavaheapmi@
@user@|@geavaheaddji@
@usurpation@|@rivven@
@Utsjoki@|@Ohcejohka@
@Uzbekistan@|@Uzbekistan@
@vacuum cleaner@|@gavjanjammi, noavki@
@Vadsø@|@chahcesuolu@
@Vadsø (in Norwegian)@|@cháhcesuolu@
@Valfjord@|@Fállevuotna@
@valid@|@riektegustojeaddji@
@valley of a river@|@lække@
@van@|@gálvobiila@
@vapor@|@lievla@
@Varangerfjord@|@Várjavuonna@
@variable costs@|@molsašuddi golut, rievdigolut@
@variable-speed transmission@|@variáhtorruopma@
@variant@|@variánta@
@variation@|@variašuvdna@
@variator@|@variáhtor@
@VCR@|@govvabáddenmášiidna, videomášen@
@vegetable@|@ruonas@
@vegetable brush@|@ruonasborsta@
@vegetation@|@šaddodat@
@vehicle@|@fievru@
@Veidnes@|@Sáltesávju@
@vein@|@varrasuotna@
@Veines (in Nesseby)@|@Vieranjárga@
@velvet@|@luffel@
@verb@|@vearba@
@verbally@|@njálmmálachchat@
@veritable@|@aitosaš@
@version@|@veršuvdna@
@very@|@aalloo, ol'lo, ollo, olo@
@vessel made of birch bark@|@boar'te@
@veterinary medicine@|@šibitmedisiidna@
@vicepresident@|@várresátnejoðiheaddji@
@vice-president@|@várrepresideanta@
@victim@|@oaffar@
@videotape@|@govvabáddi, videobáddi@
@village@|@gilli, girkogilli, márkan@
@vinegar@|@ettet@
@virgin@|@nieida@
@Virgin Mary@|@nieida Márjá@
@Virgo@|@Buhtisnieida@
@vitamin@|@vitamiidna@
@voluntary@|@eaktodáhtolaš@
@volunteer fire-brigade@|@FBG (friijabuollingoddi)@
@voter@|@jienasteaddji@
@voyage@|@mátki@
@Wales@|@Wales@
@walk@|@viehka-@
@wall@|@seaidni@
@walnut@|@valniehtti@
@walrus@|@morša@
@waning moon@|@nohkki mánnu@
@want to do something@|@hálo@
@war@|@soahti@
@war politics@|@soahtepolitihkka@
@wardrobe@|@skábe, skáhppe@
@warning@|@váruhus@
@warning about something@|@váruhus@
@waste@|@ruska@
@watch@|@fákta@
@water@|@cháhci@
@water fountain@|@cháhcegárri@
@watering trough@|@chahcegárri@
@wave@|@bárru@
@way@|@metoda@
@way of rearing@|@bajásgeassinvuohki@
@we@|@mii, mii, mij, moai@
@we two@|@moai@
@weak@|@headju, labme@
@weakly@|@hejot@
@weakness@|@hedjodat@
@wealthy@|@rikkis@
@weather@|@dálki@
@weather conditions@|@siivu@
@webmaster@|@webovddasvástideaddji@
@wedding picture@|@náitalngovva@
@Wednesday@|@gaskavahkku@
@week@|@vahkku@
@weekdays@|@árgabeaivvis@
@weekend@|@vahkkoloahppa@
@weekly@|@vahkkosaš@
@welcome@|@buresboahtin@
@well@|@bures, bures, gáivo, no@
@wellingtons@|@gummigápmagat, gummisáppáhat, gummistevvelat@
@West Bank@|@Oarjegáddi@
@Western red-footed falcon@|@veaigefálli@
@wet@|@njuoska, njuoskkas@
@wet snow@|@vuodtja, vuož'že@
@whale@|@bossu, fális@
@what@|@mii@
@what about@|@naba, nabat@
@what kind of@|@makkár@
@what X@|@mii@
@what X (people)@|@gii@
@what?@|@maid?@
@wheat@|@nisu@
@wheat bread@|@nisoláibi@
@wheat flour@|@nisojáffut, nisojáfut, nisot, nisut@
@wheel@|@juvla@
@when@|@go, goas@
@Where is my room?@|@Gos mu latnja lea?@
@Where is the bar?@|@Gos bára lea?@
@Where is the beach?@|@Gos gáddi lea?@
@where the snow has melted@|@bievla@
@where to@|@gosa@
@which is why@|@dan dihte, danin@
@which kind?@|@ámadadju@
@which one of two@|@goabbá@
@while@|@kaetfo@
@whimbrel@|@guškkástat@
@whinchat@|@miesttaskilki@
@whistle@|@njurgganas@
@white@|@chæs'ka-, vielgat, vilges@
@white pepper@|@vilgesbihpporat@
@white wagtail@|@beštor@
@whitefish@|@chuovža@
@white-tailed eagle@|@mearragoaskin@
@whiting@|@fihten, huitu@
@who@|@gii@
@whoever@|@gii fal@
@whole@|@oppa@
@whole milk@|@chielgamielkki@
@whooper swan@|@njukcha@
@why?@|@manne?@
@widow@|@oarbes@
@widower@|@leaska@
@wife@|@eamit@
@wife's brother-in-law@|@spile@
@wild reindeer@|@goddi@
@wild strawberry@|@meahcceeanamuorji, meahcceeananmuorji@
@willingly@|@áinnas@
@willow@|@sleðga@
@willow ptarmigan@|@rievssat@
@willow tit@|@vuovdegaccet@
@willow warbler@|@rievssatcizáš@
@wind@|@biegga@
@windmill@|@bieggajorri@
@window@|@lássa@
@window frame@|@lásebealis@
@windowsill@|@lásegárbma, lássalávdi@
@wing@|@dol'ge, soadji@
@winkle@|@gáhttoskálžu@
@winter@|@dálvi@
@winter road@|@dálvemáðidja@
@winter weather conditions@|@dálvesiivu@
@winter wren@|@bealgeloddi@
@wire transfer@|@bángkogiro, bángkosirdda@
@wisdom@|@viisodat@
@wise@|@viissis@
@without something@|@almmá, haga@
@wolf@|@gumpe@
@wolf fish@|@stáinnir@
@wolf lichen@|@gumpejeagil@
@wolverine@|@geatki@
@woman@|@niezan, niso, nissonolmmoš, nissun, nissun, nisu@
@womb@|@mánágoahti@
@wood grouse@|@chukcha@
@wood sandpiper@|@ruonájuolchoavžžu@
@wood warbler@|@cihrrelastavizar@
@woodcock@|@vuovdemeahkástat@
@woodcut@|@muorravajus@
@wooded hill@|@maraas, maras, moaras, moarast, moarašt, moaràst@
@wooden cup@|@bollu@
@woodpecker@|@chai'hne, chaihne, chainne, chaitne@
@wool@|@ullu@
@wool yarn@|@láigi@
@word@|@sátni, vuollee@
@word formation@|@sátnetneráhkadan@
@word processing@|@teakstagieðahallan@
@word with an # of syllabllabls@|@bárrastávvalsátni@
@word with an number of sylable@|@bárahisstávvalsátni@
@wordsmith@|@sátneduojár@
@work permit@|@bargolohpi@
@world@|@áibmu, máilbmi@
@World Wildlife Fund@|@Máilmme Luondduealliid Foandda@
@worldwide@|@máilmmeviidosaš@
@worm@|@njiwnja, suok'sa@
@wrist@|@giehtaruohtas@
@writer@|@chálli, girjechálli@
@writing@|@chállin@
@wrong@|@boastut@
@X from now@|@geahchen@
@X-grader@|@~luohkkálaš@
@X-year-old@|@X-jahkásaš@
@yarrow@|@biehtárguhkká, biehtárrássi@
@year@|@jahki, vuotta@
@yearly@|@jahkásachchat@
@yeast@|@jeara, jeasta@
@yeast dough@|@jearadáigi, jeastadáigi@
@yellow@|@fiskes@
@yellowhammer@|@fiskescihci@
@yes@|@de, juo@
@yesterday@|@ikte@
@yesterday during the day@|@ievttá beaivi, ikte beaivet@
@yesterday evening@|@ievtt'eahket, ikte eahkedis@
@yesterday morning@|@ievtt'iðit@
@yoghurt@|@jogurta@
@yonder@|@do, duo@
@you@|@dii, Diije', don, tij@
@you (plural)@|@dii, doai@
@you do not@|@eahppi@
@you two@|@doai@
@young@|@nuorra@
@young animal@|@-chchâm-, vaažâ@
@young woman@|@nieddaš@
@younger sister of husband@|@note@
@your@|@dudno@
@your aunt@|@imáštallat@
@yours@|@du@
@yours (pl.)@|@din@
@youth@|@nuorravuohta@
@Yup'ik@|@jupik@
@zero@|@nolla@
@Zionist@|@sionisttalaš@
@zip file@|@zip-fiila@
@zoology@|@zoologiija@
@zucchini@|@gurbbet@

