@English@|@Greenlandic@
@I greatly feel the lack of someone who may help me@|@ikiortissannik eqqasoqaanga@
@I had just been speaking of you when you came in@|@aatsaat eqqartorikkit iserputit@
@I have a companion@|@aappaliuvunga@
@I have boots enough@|@kamikka naammapput@
@I have enough of them@|@ajorsaatiginngilakka@
@I have just heard it@|@aatsaaginnaq tusarpara@
@I have made too few nails@|@kikiassaliakka ikinaarpakka@
@I have no one to apply to@|@ornigassaqanngilanga@
@I have no one to go with@|@aappassaqanngilanga@
@I have no paint for my house@|@illunnut qalipaatissaqanngilanga@
@I have no thread to sew it with@|@ujalussaqartinngilara@
@I have not heard when they arrived@|@qanga tikitsut tusanngilakka@
@I have not observed anything@|@malugisaqanngilanga@
@I have not seen him lately@|@qanittukkut takunngilara@
@I have now frequently a pain in my eye@|@isima illua ippigisalerpara@
@I have that against you@|@assuaraakkit atukkatit toqqunngisaannarakkit@
@I know him by his voice@|@erinaagut ilisaraara@
@I know the tune@|@erinaa nalunngilara@
@I live in the same house with him@|@illoqatigaara@
@i love him@|@asavara@
@i love them@|@asavakka@
@i love you@|@asavakkit@
@i love you (pl)@|@asavassi@
@I met no one@|@naapitaqanngilanga@
@I miss my handmaiden@|@kiffara ujariagaara@
@I miss nothing@|@maqaasisaqanngilanga@
@I must go at once@|@ernerlunga aallassaanga@
@I myself@|@uanga nammineq@
@I nearly fell over you@|@naneqqajaqaakkit@
@I never! Is that true?@|@ritsi, ritsi-una@
@I no longer feel any pain@|@ippigisaaruppunga@
@I order you to go@|@naalakkerpakkit allaqqullutit@
@I placed it on that side of him@|@ukutsianut ilivara@
@I put a discarded shirt over me@|@ilullikorsuaq uligaara@
@I saw him once when I was up north@|@ilaanni taavaniikama takuara@
@I see everything as if through a fog@|@silaga ujuvittorsuuvoq@
@I shall be back presently@|@katsornanga utissaanga@
@I shall do it as well as I can@|@sapinngisannik sanassavara@
@I shall take all the blubber@|@orsoq tamakkissavara@
@I should like to ask you to do me a favour@|@taaniaraluarpakkit@
@I should like to try on my new dress@|@annoraartaara ooqattaarniarpara@
@I silenced him by contradicting him@|@assortuukkanni oqassarlerpoq@
@I spoke to him@|@oqaluffigigaluarakku saperpara@
@I spoke to him at once@|@ernerlugu oqaluuppara@
@I struck home with my words@|@oqaatsinnik eqqorpara@
@I think it is quite close@|@qaninaaqaara@
@I took them all together@|@tamarluinnaasa tiguakka@
@I wear it below my fur jacket@|@ikiaraara@
@I wish he may recover!@|@qanortoq ajorunngaarili@
@I wish!@|@qanortoq@
@ice net@|@qassutit sikusiutit@
@ice)@|@iggiaqanngilaq@
@ichneumon@|@munngoq@
@idol@|@Guutiliaq, Guutipiluk, Guutiunngitsoq@
@idolator@|@Guutipilussiortoq@
@idols are of no importance@|@Guutipiluit suungillat@
@if I live to see the day tomorrow@|@aqaguukkaluarpanga@
@if only I had a leister!@|@kakiassaq ajornaq@
@ignorance@|@nalu@
@ilaule let anybody who wants to@|@nalinginnaq piumasoq@
@illness@|@nappaat, nappaq@
@illness with shivers@|@nappaat qanimanartoq@
@illora@|@illora@
@i'm eating@|@nerivunga@
@I'm fine@|@ajunngilanga@
@I'm looking for@|@ujarpara@
@imperious@|@naalaqqutooq@
@implement for pressing out the oil of the residue of blubber@|@naqitsivik@
@implementfor cleaning down@|@sanngiarpaa @
@in a few days@|@ippassiguni@
@in autumn@|@ukiaru@
@in conclusion@|@naggataamik@
@in front@|@saani@
@in garment@|@qaqu@
@In Greenland@|@Kalaallit nunaanni@
@in her house@|@illumini@
@in his house@|@illuani@
@in my house@|@illunni@
@in my presence@|@takkunni@
@in our house@|@illutsinni@
@in our neighbourhood@|@eqqatsinni@
@in some of the houses@|@illut ilaanni@
@in the autumn@|@ukiakkut@
@in the course of this year@|@manna ukiuutillugu@
@in the distant future@|@qaqugorsuaq@
@in the east@|@pavani@
@in the neighbourhood of it@|@eqqaani@
@in the other world@|@matuma aappaani@
@in the vicinity of the house@|@illuorsuaq eqqaasiorlugu@
@in their house@|@illuminni@
@in this world@|@matumani@
@in through there@|@qamuuna@
@in winter@|@ukiukkut@
@in your (pl) house@|@illussini@
@in your (sg) house@|@illunni@
@in your presence@|@takkussinni@
@incision@|@kigarneq@
@inclination@|@illigussuseq@
@inclines@|@iigarpoq@
@indecency@|@kanngunassuseq@
@indeed!@|@Ilaanaqaat@
@india rubber@|@aqerluusamik piiaat@
@indisposed@|@meerujutsippoq, meerujuuvoq@
@infant@|@naalungiaq@
@infects him@|@aatsorpaa@
@infidel@|@uppinngitsoq@
@inhales it;@|@najuuppaa@
@initates the throat@|@qaqernippoq@
@inlet@|@eqik@
@inner garment@|@kapitaq@
@inserts a prop into it (the kayak)@|@pakkuserpaa@
@insolent@|@ittuujuippoq@
@instrument@|@taqarsiut@
@instrument with which one strikes against something@|@kasuttaat@
@instrument with which to hollow something@|@najukallit@
@interest@|@erniaq@
@intermediator@|@saammarsaasoq@
@interpreter@|@nalunaajaasoq@
@interpreter; spokesman@|@oqalutsi, oqalutseq@
@interval@|@ikiaq@
@intestinal worm@|@erlavimmiu@
@into the bargain@|@unatarmanni allaat@
@intonation ritual@|@erinnersaarutissiat@
@invitation@|@qaaqqussut@
@invites him@|@qaaqquaa, qaasarpaa@
@iron for an axe@|@ulimaatissaq@
@iron for head of harpoon@|@ulussaq@
@iron head (on a bladder arrow)@|@igimaaq@
@is a bad example@|@maligassiuinerluppoq@
@is a child no longer@|@meeraajunnaarpoq@
@is a clever chap@|@mallaavoq@
@is a fool@|@perlequjaavoq@
@is a good example@|@maligassiuilluarpoq@
@is a good housekeeper@|@peqaqqippoq@
@is a hypocrite@|@peqquserluppoq @
@is a liar@|@sallutuuvoq@
@is a little curved@|@najungavoq@
@is a mail carrier on this occasion@|@paarutigaa@
@is a passenger@|@issimavoq@
@is a pure-blooded Greenlander@|@kalavik@
@is a stranger@|@takornartaavoq@
@is a sudden gust of wind@|@aggiasoorpoq (S.G)@
@is a tell-tale@|@oqajamaavoq@
@is abashed before him@|@kanngusuffigaa@
@is able to@|@piginnaavoq @
@is able to manage@|@sapinngilaq@
@is able to stand cold@|@qanimaappoq@
@is about the middle of the sound@|@ikerpasippoq, ikerparpoq@
@is absent@|@ikiarsivoq@
@is accustomed to it@|@uissuppaa@
@is afraid@|@ersigaa@
@is afraid of it@|@nangiaraa@
@is ailing@|@ippiguppoq, ippikkiorpoq@
@is ajar@|@ikersissimavoq@
@is all@|@tamarsuuvoq@
@is almighty@|@ajugaqanngilaq@
@is alone in the world@|@ilaaruppoq@
@is always lucky@|@nangitinngilaq@
@is always of the party@|@kajaappoq@
@is always ready to laugh@|@illarajuppoq@
@is an able hunter@|@nakuarsuuvoq@
@is an example@|@maligassiuivoq@
@is an obstacle@|@ajoqutaavoq@
@is angry@|@uggorpoq, ugguarpoq@
@is angry about it@|@kamaatigaa@
@is angry with him@|@kamaappaa@
@is annoyed by it@|@ugguutigaa@
@is anxious@|@eqqasuppoq, ernumavoq@
@is anxious (about a sick person)@|@kappiasuppoq@
@is anxious about him@|@kappiagaa@
@is anxious about it@|@ernumavaa@
@is anxious about something@|@iasilaarpoq@
@is anxious for him@|@uippalliuppaa@
@is anxious for it@|@eqqasuutigaa@
@is anxious for that reason@|@ernumassutigaa@
@is anxious to get it@|@eqqagaa@
@is appetizing@|@illinnarpoq@
@is apt to blame@|@assuarlerajuppoq@
@is apt to butt@|@nassummigaagajuppoq@
@is apt to capsize with his kayak@|@pertujavoq @
@is apt to get warm@|@kiassarippoq@
@is apt to tell falsehoods@|@sallugajuppoq@
@is ashamed@|@kanngusuppoq, pakatsivoq@
@is ashamed of it@|@kanngusuutigaa, pakatsissutigaa@
@is assuaged (a pain)@|@manorlorpoq, manullorpoq@
@is at borne and takes care of the house or the tent@|@paavoq@
@is at ease@|@kallangaappoq@
@is at his ease@|@eqquussimaarpoq@
@is at home@|@saalivoq@
@is at work on his kayak@|@qaannerivoq, qaanneraaq@
@is at work with boots@|@kammeraaq, kammerivoq@
@is attentive@|@naalaannarpoq, naalaarpoq@
@is autumn@|@ukiaavoq@
@is awake@|@eqiingavoq@
@is bad horn (to work in)@|@nassulluppoq@
@is badly closed@|@mattorlerpoq@
@is bandy-legged@|@illungavoq@
@is barefoot@|@kamilaarpoq, kamillaangavoq@
@is beautifully brown@|@katsorippoq@
@is being birched@|@orpinnguartippoq@
@is bent@|@peqingavoq@
@is blamable@|@assuarnarpoq@
@is blameless@|@assuarnaappoq@
@is blind in one eye@|@illuanik isigisaqanngilaq@
@is blubber@|@orsuuvoq@
@is bold@|@saperuttaappoq@
@is bored@|@eriniusaarpoq@
@is born@|@erniuvoq@
@is broad-shouldered@|@kiatituvoq@
@is broad to cross@|@ikertuvoq@
@is brown@|@kajorpoq@
@is brownish@|@kajuarpoq, kajoravoq@
@is busy@|@ulapippoq@
@is busy at extmguishing@|@qamiterivoq, qatserivoq@
@is busy with a bear@|@nannerivoq@
@is busy with it@|@ulapissutigaa@
@is careful about it@|@mianersuuppaa, peqqissaarpaa@
@is careless (about things)@|@kaluuvoq@
@is careless about it@|@talakkassutigaa@
@is caught in a snare@|@napippoq@
@is cautious@|@peqqarpoq, qajassuarpoq@
@is cautious about him@|@mianeraa@
@is chaste@|@kannguttarpoq@
@is chilly@|@qiiarluppoq@
@is clayey@|@marrangavoq@
@is clean@|@eqqippoq@
@is cleaned@|@salissimavoq@
@is cleanly@|@eqqiluippoq, saligaappoq@
@is clearly visible@|@erseqqippoq, ersarippoq@
@is close to him or it@|@qanippaa@
@is closely related to him@|@qanittumik eqqarleraa@
@is cold@|@ikkeernarpoq@
@is compassionate@|@naakkisaagajuppoq@
@is complete@|@tamarmiuvoq@
@is conceited@|@peqataarpoq, peroorpoq, perroorpoq, perruualaarpoq@
@is confused@|@pequerpoq@
@is confused about it@|@ulerussivoq@
@is conqueror@|@ajugaavoq@
@is constantly losing a little of it@|@karnalavoq (katappoq)@
@is covered@|@qallerpoq@
@is covered with perspiration@|@kiammivoq@
@is covered with rime@|@qaqornappoq@
@is crammed with food@|@aqajaqqerpoq@
@is cranky@|@orrajavoq@
@is cranky a boat@|@orrarippoq@
@is credulous@|@uppiavoq@
@is crooked@|@sangungavoq@
@is cross-striped@|@sanimukaarpoq@
@is crosswise@|@paarlangavoq@
@is crosswise of something else@|@sanningavoq@
@is cunning@|@peqqusersuuvoq@
@is cupped@|@ukusarfigitippoq@
@is cylindrical@|@ulamerpoq@
@is damp@|@qaalertanarpoq@
@is deaf to all expostulation@|@oqaluussaanngilaq@
@is declining@|@orlungavoq@
@is deeply offended@|@mamiatsappoq@
@is deeply shocked at it@|@mamiatsaatigaa@
@is delicate@|@parsangavoq@
@is desirable@|@kajungernarpoq@
@is desirous (of)@|@illiguppoq@
@is difficult@|@sarpernarpoq@
@is difficult to pursue@|@malerniippoq@
@is diligent and orderly@|@sajaappoq@
@is disagreeable@|@ippingianarpoq@
@is disagreeably wet.@|@qaalertavoq@
@is disgusted with it@|@eeraa@
@is disgusted.@|@eerpoq@
@is disgusting@|@eernarpoq@
@is disobedient@|@naalaalliorpoq, naalanngersorpoq, naalasseriippoq@
@is distinct@|@malunnarpoq@
@is disturbed@|@erloqivoq@
@is doubtful@|@nalorninarpoq, nangaavoq@
@is down here@|@takananga@
@is down there@|@samaniippoq@
@is drawn by it towards something@|@kajunngutigaa, saviit kajungerisaat@
@is dreadful@|@ersinarpoq, najussimanarpoq@
@is dried@|@saluarpoq, salummarpoq@
@is dried up@|@parnuppoq@
@is dried up so that it sticks shrinks@|@parnivoq@
@is dropsical@|@ikialitsissimavoq@
@is dry@|@panerpoq@
@is dying@|@appaavoq@
@is easily governed@|@oqaatseriarpoq@
@is easily inflammable@|@ikuallajavoq@
@is easily loosened@|@massalavoq@
@is easily moved@|@saqitseriarpoq@
@is easily offended@|@ajuallakkajuppoq@
@is easily pursued@|@malernerpoq@
@is easily removed or wiped out@|@piiavoq@
@is easily turned to the side@|@sangussarippoq@
@is easy to ride on@|@perrannarpoq@
@is elastic@|@ajorinngujuippoq@
@is eloquent@|@oqaloqqippoq, oqalullaqqippoq@
@is emaciated@|@qapappoq@
@is engaged to him or her@|@aappassiaraa@
@is enough to make one giddy@|@nangiarnarpoq@
@is enough to make one sick@|@meriarnarpoq@
@is evident@|@nalunanngilaq@
@is exactly round@|@ulammarippoq@
@is excellent@|@palaavoq, saalaavoq@
@is exciting@|@ajussimaasarnarpoq@
@is exhausted@|@merngortorpoq, qapasaavoq@
@is extended@|@ajuppoq@
@is extinguished@|@qaminngavoq, qamippoq@
@is familiar with the habits of the Greenlanders@|@kalallivoq@
@is fastidious@|@maajutuvoq@
@is feeble@|@ajulersarpoq, sakkukippoq, sanngisooq@
@is fertile (the soil)@|@naggorippoq (naavoq)@
@is fickle@|@tamappoq@
@is filled with it@|@ulikkarutigaa@
@is firmly seated@|@pertujaappoq@
@is flat@|@nalaarpoq@
@is foggy@|@ujuvippoq@
@is fond of sweets@|@mamanngerpoq@
@is foremost@|@salliuvoq@
@is fragile@|@qajannarpoq@
@is frank@|@taqimaappoq@
@is frayed@|@makilalippoq@
@is free from sin@|@ajorteqanngilaq@
@is freed from sin by it@|@ajortaarussutigaa@
@is fried@|@kajortitippaa, kajortitippoq, aquippoq@
@is friendly towards him@|@ikinngutinnerfigaa@
@is frugal@|@naammagittarpoq@
@is fulfilled@|@eqquuppoq@
@is full@|@ulikkaarpoq (uli)@
@is full of boils@|@ajualissuuvoq@
@is full of mould or maggots@|@oquppoq@
@is full of spots of blubber@|@orsugasaarpoq@
@is gay@|@ikatuvoq@
@is gently increasing in height@|@nalerumavoq@
@is getting thin@|@sanigorpoq@
@is giddy@|@nangiarpoq, uissannguvoq@
@is good@|@ajunngilaq@
@is good at working in wood@|@sannarippoq@
@is good horn (to work in)@|@nassoqqippoq@
@is gracious (God)@|@saamaavoq@
@is gracious towards him@|@saammaapaa@
@is gracious towards someone@|@saammaassivoq@
@is greased@|@tanippoq@
@is greasy@|@orsupalippoq@
@is greatly bent@|@peqinngarippoq@
@is grumpy@|@orulluppoq, oruluvoq@
@is grumpy about it@|@oruluutigaa@
@is grumpy towards@|@oruluffigaa@
@is half-stripped@|@mattaangavoq@
@is hard to bite or to cut@|@manngerpoq@
@is hardened@|@makussivoq, manngertippoq@
@is hardy@|@maattuvoq@
@is healed@|@mamippoq@
@is healthy@|@peqqippoq@
@is heaping@|@qammippoq, qannippoq@
@is heartily tired of seeing it@|@takuunnguuppaa, takunnguutigaa@
@is heavy (to lift)@|@oqimaappoq@
@is heavy-footed@|@oqilaappoq@
@is held to be of no account@|@talorunnarpoq@
@is helped by him@|@ikiorsiisigaa@
@is helpful@|@ikiuigajuppoq@
@is high water@|@ulinngavoq@
@is hired@|@laajaavoq@
@is his companion@|@aapparaa@
@is hoarse@|@igiingavoq, iggeeruppoq, iggiaqanngilaq@
@is hot@|@kiappoq@
@is hot- tempered@|@kamakkajuppoq, kamajavoq@
@is humble@|@makitajuippoq, qanilaarpoq, qaniuarpoq@
@is hump-backed@|@qalangavoq@
@is hungry@|@kaappoq, perlilerpoq@
@is ignorant@|@naluvoq (nalu)@
@is ill@|@napparsimavoq@
@is ill at ease@|@kallangavoq@
@is ill from or "drunk" with shark's meat@|@eqalussuannguvoq@
@is immovable@|@ajassaanngilaq@
@is impatient@|@erinivoq@
@is imperious@|@naalaqutuuvoq@
@is impossible@|@ajornarpoq@
@is in a hurry to tell others what he has heard@|@qaqqaqqalaarpoq@
@is in doubt about it@|@nakimmatigaa, nakimassutigaa@
@is in doubt as to it@|@nangaassutigaa@
@is in great expectancy@|@naalaruluppoq@
@is in his dotage@|@illippoq@
@is in his mouth@|@qanermiugaa@
@is in the loft@|@qalianiippoq@
@is in the same direction as something else@|@nalerippoq@
@is in there@|@qamaniippoq@
@is in travail@|@ernisuppoq@
@is in want of it@|@sapersaatigaa@
@is in want of something which is not to be had@|@artorsarpoq@
@is incised@|@kigarpoq@
@is inclined to go sealhunting@|@qammerivoq@
@is indefinable@|@iangavoq@
@is inspiring@|@qangattangajannarpoq@
@is intelligent@|@qarasagippoq, qarasarippoq@
@is intelligible@|@paasissaavoq@
@is intolerable@|@kamanaappoq@
@is intolerant@|@nakkoriippoq@
@is intoxicated@|@kaavikoorpoq, qanngorpoq@
@is it bad?@|@ajorpa? @
@is it not expensive?@|@akusungila? @
@is it not?@|@ilaa@
@is jealous@|@saangiuppoq@
@is jealous of him@|@sangiappoq @
@is just enough@|@naammaannarpoq@
@is kind@|@saamavoq@
@is lazy@|@eqiattartuvoq, eqiattortuvoq@
@is lean@|@salluuvoq, saluppoq@
@is left-handed@|@saamiuvoq@
@is level@|@nalimmappoq@
@is light@|@oqippoq@
@is lighted@|@ikippoq@
@is light-footed@|@oqilavoq@
@is loathsome@|@maajunnarpoq@
@is long@|@takivoq@
@is longer@|@takineruvoq@
@is longing to see him or it@|@takorusuppaa@
@is loosened@|@kaanngarpoq (kaavoq)@
@is lost@|@katappoq@
@is mad@|@perlerorpoq@
@is made tight@|@alluarpoq@
@is melting (blubber).@|@igiulavoq@
@is merciful@|@naakkittaarajuppoq, naakkisarajuppoq@
@is merciless@|@naakkittaappoq@
@is mere sediment@|@marniuvoq, maranĩnauvoq@
@is midwife@|@ernisussiorpoq@
@is missed@|@maqaasinarpoq, ujarianarpoq, ujarianaqaaq@
@is mistaken or exchanged@|@paarlaappoq@
@is most easterly@|@kangilliuvoq@
@is mouldy@|@oqussunnippoq@
@is naked@|@tamataaruppoq, tamataqanngilaq@
@is narrow-shouldered@|@kiatikippoq@
@is narrow to cross@|@ikikippoq@
@is nauseating@|@merianngunarpoq@
@is near@|@qanippoq@
@is never extinguished@|@qamiuippoq@
@is never in want@|@ajorsaappoq@
@is no longer ignorant@|@nalujunnaarpoq@
@is not easily governed@|@oqaatseriippoq@
@is not fastidious about his food@|@maajujuippoq@
@is not good@|@ajunnginngilaq@
@is not here@|@peqanngilaq@
@is not in the place where it belongs@|@maniinnaq ippoq, maaniinnarmiippoq@
@is not inclined to do it@|@nakerinngilaa@
@is not quite well@|@ajukuluppoq, qapatsisimavoq@
@is not sleepy@|@uernassaqanngilaq@
@is not solid food@|@tangeqanngilaq@
@is not sure in a kayak@|@passappoq@
@is not suspicious@|@pasinanngilaq@
@is not to be believed@|@uppernanngilaq@
@is not to be moved@|@saqissaanngilaq@
@is not very ill@|@ajungaanngilaq@
@is not warm@|@oquippoq@
@is nursed by him@|@paaqqisigaa, paaqqinnitsigaa@
@is obedient@|@maleruuppoq, naalasseriarpoq@
@is obeyed@|@naalagaavoq@
@is oblique@|@qaperangavoq@
@is oblong@|@takkajaarpoq@
@is of the shape of a needle@|@meqqutaasarpoq@
@is of the usual kind@|@nalinginnaavoq@
@is offended by it@|@ajuallaatigaa, ippigaa@
@is offensive@|@ajuallannarpoq@
@is on a level corresponds with it@|@naligaa@
@is on a level with it@|@missingaa, naleqqerpaa@
@is on his way to someone@|@piartorpoq @
@is on the point of boiling@|@qalaarpoq@
@is on the point of healing@|@mamilerpoq@
@is on the point of sitting down@|@isserpoq@
@is open on both sides@|@illuttut ammavoq@
@is opened@|@mappikaarpoq, mallerpoq@
@is oppressed by it@|@ippingiagaa, nanertorneqaatigaa, nanertortigaa, nanertugaassutigaa@
@is oppressed by something@|@nanertugaavoq@
@is out bear-hunting@|@nannunniarpoq@
@is out fetching blubber@|@orsiarpoq@
@is out fishing sea scorpion.@|@kanassiarpoq, kanissiarpoq@
@is out gathering berries@|@paarnaliarpoq, paarniarpoq@
@is out gathering eggs@|@manniliarpoq@
@is out gathering rock moss@|@qalippiarpoq@
@is out gathering willow for fuel@|@palliliarpoq@
@is out halibut fishing@|@qaleralliarpoq@
@is out ice-hunting@|@maappoq@
@is out in a storm@|@perlussiorpoq@
@is out late in the autumn@|@ukiarserpoq@
@is out of bed@|@makitavoq@
@is out shark fishing@|@eqalussuarniarpoq@
@is overwhelming@|@iaarnarpoq, iaaminarpoq@
@is pale@|@paqqingavoq@
@is patient@|@kamaginnippoq, kamagittarpoq@
@is patient.@|@erinitsajuippoq@
@is peculiar.@|@eqqumiippoq@
@is peerless@|@naleqanngilaq@
@is pendulous@|@nakkangavoq@
@is pitiable@|@naakkinarpoq@
@is pleasant to see@|@takujuminarpoq@
@is pleased to see him for the first time or at last@|@takorniorpaa@
@is pleased to see it@|@takorannaarpaa@
@is pleased to see some-one for the first time@|@takorniorpoq@
@is pleased to see something@|@takorannaarpoq@
@is powerless against him@|@ajorpaa@
@is precious@|@erlinnarpoq, erlernarpoq@
@is present@|@najorpoq, najuivoq@
@is present on a particular occasion@|@narornippoq, najorliivoq, najuivoq@
@is pressed down by its own weight@|@nanippoq @
@is prevented by it@|@ajoqutigaa@
@is propped up@|@ajagutarpoq@
@is pushed back@|@ajangippoq@
@is pushed forward by the waves@|@kaassalivoq, kaassalisaarpoq@
@is puzzled by them@|@uleruppai, ularuppai@
@is quick at healing (a wound)@|@mamiavoq@
@is quick at learning@|@maluttarpoq@
@is quick at noticing something@|@malussarippoq@
