@Greenlandic@|@English@
@kumoorn@|@good morning@
@kunaat@|@good night@
@kutaa@|@boa tarde@
@kuultimik qalipappaa@|@gilds it@
@laaja, laajaq@|@laaja, laajaq@
@laajaavoq@|@is hired@
@laajarsiorpoq@|@looks for day labourers@
@laajarsivoq@|@secures day labourers@
@laama@|@lama. (loan word)@
@lal´ laaq@|@children's word for qavdlunâq@
@lies down on his stomach@|@lays him on his stomach@
@lies on the stomach@|@creeps on the stomach @
@liiveq@|@lion. (loan word)@
@liivikkut naggueqatigiit@|@Levi's tribe@
@liiviusaq@|@sea lion@
@lisartagaq@|@tablete@
@llineq@|@ski track@
@maagaarpoq@|@loose to tread on@
@maajooq@|@lemming@
@maajorluerpaa@|@makes it loathsome@
@maajugaa@|@feels loathing for it@
@maajujuippoq@|@is not fastidious about his food@
@maajunnarpoq@|@is loathsome@
@maajuppoq@|@feels loathing@
@maajutuvoq@|@is fastidious@
@maakkaliornarpoq, maakkarpoq@|@it is the kind of going where must wade@
@maakkaliut@|@something to wade in@
@maakkaliuutit@|@foot-gear for wading@
@maakkarpoq, maakkaliorpoq@|@wades@
@maakkarpoq, maakkaliorpoq@|@wades in deep snow@
@maakkippoq@|@is thin-skinned (literally)@
@maamajooq@|@bug bear@
@maana@|@through here@
@maanakkut@|@nowadays@
@maanaqquppaa@|@passes by this@
@maanaqquppoq  tamaanaqquppoq@|@passes through here@
@maanga@|@hither@
@maangaannaq@|@right here@
@maangaannaq inuuvoq@|@leads a purposeless life@
@maangarpoq@|@is soft or loose to tread on @
@maani@|@here@
@maanimiut, tamaanimiut@|@the people living in this place.@
@maanna@|@now@
@maanna ulapissutaruppunga@|@now there is no longer anything to keep me busy@
@maannaasaq@|@gingerbread nut@
@maannak@|@pad, finger tip@
@maannakkumit@|@as compared with now@
@maannakkumut@|@until now@
@maannamit@|@from now onwards@
@maannamut@|@until this hour@
@maannangaaq@|@before it is too late@
@maannarpoq, tamannarpoq@|@comes here@
@maannatut, maannakkutut@|@as now@
@maanneq@|@the kind of sealing described above@
@maannga@|@from here@
@maanngagaaq@|@from now onwards@
@maannivoq, maannineq@|@becomes hard, corn@
@maappaa@|@kills it @
@maappoq@|@is out ice-hunting @
@maappoq, massalippoq, massilippoq@|@is sensitive@
@maarpoq, maalavoq@|@howls a dog with pain@
@maasaraq@|@small ice-floe@
@maassak@|@the skin of a whale @
@maatarpaa@|@undresses him@
@maattuvoq@|@is hardy, callous@
@maavarpoq, maavaarpoq@|@loose to tread on@
@maavoq@|@sinks in @
@maggorluk (maavoq)@|@swamp; morass@
@magguppaa@|@sticks it in@
@majorappoq@|@runs the boat for some dislance along the Oat sea shore@
@majorarnartoq, majorariaq@|@counter current@
@majorarpoq ersarlippoq@|@goes (with a boat) against the current@
@majorassaarpoq mallorpaa@|@paddles his kayak towards the beach@
@majoriaq, majoqqaq, majorteqivoq, maassak, majuarpoq, maannak@|@defile,  passage over a mountain, pulls up his trousers round his loins, goes upwards@
@majorpaa@|@tucks up (his clolhes)@
@majorpoq@|@rises@
@majuariaq, majorajaaq@|@hill, rising ground@
@majuartarfiit@|@ladder@
@majuffapput@|@they all go up@
@majuffaseq@|@climbing foot@
@majuffasillit@|@scansorial birds@
@majuuppaa@|@carries it up@
@majuuppoq@|@has been carried up@
@majuussorpai@|@carries them up@
@makialavoq@|@splinters easily@
@makialitsippaa, makialiterpaa@|@frays it gradually@
@makiarneq@|@splinter @
@makiarniku@|@splinter@
@makiarpaa (makippoq)@|@splinters it@
@makiarpoq@|@is splintered@
@makilalippoq@|@is frayed@
@makippoq@|@stands up@
@makiseq, makit@|@loin.@
@makisequt@|@loin-belt@
@makisermippaa@|@carries it across his loins.@
@makisia, makisaa@|@his loin@
@makitajuippoq@|@is humble@
@makitassuseq@|@conceit@
@makitassusia ukutippaa@|@bends his pride@
@makitavoq@|@is out of bed@
@makiterpoq@|@rights itself (himself) @
@makitippaa@|@raises him up@
@makittaq@|@that by which something is made to rise @
@makittaqanngilaq@|@he cannot get up with his kayak@
@makittaqarpoq@|@can rise with his kayak@
@makittarippoq@|@is upright@
@makittarissaat@|@plumb-rule.@
@makittarpoq@|@has risen more than once @
@makittatigaa@|@prides himself on it@
@makittuuvoq@|@is the one who is up @
@makkarpaa, maakkarpaa@|@snaps his fingers at him@
@makkorpaluppoq@|@clatters@
@makkorpoq@|@clatters @
@makku, makkua@|@these@
@makkuluppoq@|@clatters@
@makkulutsitsivoq@|@cackles@
@makkuppoq@|@gets up again @
@makunniupput@|@they fight for the leadership@
@makuppaa (makippoq)@|@looks down upon him@
@makussivoq@|@is hardened@
@makutaq@|@leader (of team) which has lost its leadership@
@malamuk, malamooq@|@fulmar (Fulmams glacialis)@
@malangavoq@|@stands or sits with his head laid backwards@
@malaq@|@throat@
@malarpoq@|@puts his head backwards@
@malartaappoq@|@is untiring@
@malartipaa@|@makes him give way@
@malasiut@|@towing hook@
@maleqqiarpoq@|@goes out @
@malereq (malik)@|@hunted sea mammal@
@malerippaa@|@kills the hunted sea mammal@
@maleritaa@|@the sea mammal hunted and killed by him@
@maleritaq@|@killed@
@maleritaraa@|@has killed the seal @
@malernerpoq@|@is easily pursued@
@malerniippoq@|@is difficult to pursue@
@malersorpaa@|@pursues him or it@
@malersorput@|@they are pursuing (an animal)@
@maleruarpaa@|@follows closely upon him or it@
@maleruartaa@|@his successor@
@maleruarti@|@successor@
@maleruuppoq@|@is obedient@
@malialaarpoq@|@there is a little sea@
@maliallerpoq@|@there is rather a strong sea@
@malialuppoq@|@there is some sea@
@maligaarsiorpoq@|@sails in a rough sea@
@maligaq, malitaq@|@followed@
@maligassaq@|@example (person or object)@
@maligassiuilluarpoq@|@is a good example@
@maligassiuinerluppoq@|@is a bad example@
@maligassiuivoq@|@is an example@
@malik@|@sea@
@malimaarpaa@|@moistens it @
@malingaarpoq@|@undulating@
@malinguartoq@|@hunters' dance @
@malinnaappaa@|@follows with it@
@malinnaatippaa@|@forwards it@
@malinnaavoq@|@follows @
@malippaa@|@follows him@
@malissuaq ajornaqaaq@|@what a rough sea!@
@malitariissariaq@|@singing canon@
@malitsi@|@follower@
@malitsigaa@|@has him as his fol-lower@
@malittaa@|@his follower@
@malittaraa@|@follows him (wherever he is)@
@malittariipput@|@they follow after each other@
@malittarisassaq@|@guide@
@malivoq@|@rises@
@mallaavoq@|@is a clever chap@
@mallak@|@shrewd, clever@
@mallappoq (makippoq)@|@is split, torn@
@mallattorneq@|@hang-nails@
@mallerpoq (malik)@|@the sea has risen@
@malliorpoq@|@labours in the waves @
@mallit umiatsiaq kasuussaappaat@|@the sea strikes the boat against the shore@
@malliukkaaq@|@wave@
@malliukkaarpoq@|@is tossed in the waves with his vessel @
@mallorpaa (makippoq)@|@pulls it up@
@malluppaa (malik), maggorluk (maavoq)@|@walks after someone @
@malluserpaa@|@follows after him@
@malugaa@|@observes@
@malugaara asagaanga@|@I feel that he loves me@
@malugisaqanngilanga@|@I have not observed anything@
@malugusuppoq@|@rejoices that he has got something@
@malummik@|@particularly.@
@malunnaappoq@|@does not make itself observed@
@malunnaat@|@distinguishing mark@
@malunnarpoq@|@is distinct@
@malussarippoq@|@is quick at noticing something@
@malussarpoq@|@has observed@
@maluttaappoq@|@is slow at learning@
@maluttarpoq@|@is quick at learning@
@mamaagaa@|@thinks it has a bad taste@
@mamaappoq@|@has a bad taste@
@mamaarpoq@|@moults (hairs or skin)@
@mamaat@|@udder (of female animal)@
@mamagoq@|@boy's harpoon (for practising)@
@mamalerpaa@|@calumniates him@
@mamangaaq@|@treacle@
@mamanngerpoq@|@is fond of sweets@
@mamaraa@|@likes the taste of it@
@mamarliisoq@|@calumniator@
@mamarpoq@|@tastes well@
@mamarsarpoq@|@eats it with a relish@
@mamartorpoq, mamatorpoq@|@gets an appetite@
@mamatuliaq@|@cake@
@mami@|@blubber@
@mamiaappoq@|@is slow at healing@
@mamiagaa@|@is shocked at him@
@mamianarpoq@|@shocking.@
@mamiasaarpaa@|@offends him@
@mamiasaarutigaa@|@shocks or offends someone by it@
@mamiasarpaa, mamisarpaa@|@heals (the wound)@
@mamiasuppoq@|@is shocked@
@mamiasuutigaa@|@is shocked at it@
@mamiatsaatigaa@|@is deeply shocked at it@
@mamiatsappoq@|@is deeply offended@
@mamiavoq@|@is quick at healing (a wound)@
@mamik@|@fleshy side (of a skin)@
@mamilerpoq@|@is on the point of healing @
@mamilippoq@|@closes well @
@maminga@|@wrong side@
@mamippoq@|@is healed@
@mamitarpoq@|@capsizes (a kayak)@
@mamitorpoq@|@eats the blubber scraped off a  skin@
@mamitserpaa@|@waits until it (the wound) is healed@
@mamitsippaa@|@folds it up closely@
@mamiuippoq, mamitsuippoq@|@is slow at healing (a wound)@
@mamma@|@food (children's language).@
@mammaarpoq@|@acquires a taste for something@
@mammarpoq@|@eats (children's language)@
@mammatappoq@|@is sleepy@
@mammineq@|@semen@
@mammivoq@|@has a discharge of semen in the night@
@mammoortpoq, marmoorpoq@|@is starved@
@mamoqqaaq@|@man's jacket @
@maneq@|@moss (used for kindling a fire).@
@maneraavoq@|@is smooth @
@manerak (manippoq)@|@even stretch @
@manerippoq@|@is quite smooth@
@manerissivoq@|@has become quite smooth @
@manermiut@|@place-name@
@manernaq (manippoq)@|@excrescence @
@mangappaa@|@gives him an order@
@mangiarpaa@|@pulls it with the teeth @
@mangiarpoq (makipoq)@|@tears something loose with the teeth@
@mangussak, mangusseq@|@a piece of skin which is placed in the back part of the kayak@
@mangussappoq@|@mistakes something@
@manigorpaa (manivaa)@|@humbles himself before him@
@manigorserpoq@|@expects humbleness@
@maniguuffigaa@|@humbles himself before him@
@maniguunnarpoq@|@one must humble oneself before him@
@maniguuppoq@|@humbles himself@
@maniilappoq@|@is uneven@
@maniilaq@|@unevenness@
@maniillat@|@hummocky ice@
@maniinnaq ippoq, maaniinnarmiippoq@|@is not in the place where it belongs@
@maniippoq@|@is uneven (land or ice)@
@maniitsoq@|@the Sukkertoppen settlement@
@manilerpaa@|@spreads it out to sun or air@
@manioqqat@|@clothes' line@
@manippoq@|@is smooth (on the surface)@
@manippoq, manittorpoq@|@sniffs (with crying)@
@manissaat@|@smoothing plane@
@manissarpaa@|@smoothes it@
@manissivoq@|@the sea subsides@
@manissuakaaq@|@gradually sloping@
@manivaa@|@offers it to someone@
@manivoq@|@shows himself@
@manna puumut ikissagit@|@put it into the bag@
@manna ukiuutillugu@|@in the course of this year @
@manna, matuma@|@this@
@mannequsaaq (mimik)@|@testicle@
@manngeqqak@|@hard snow@
@manngerpoq@|@is hard to bite or to cut@
@manngertippaa@|@hardens him@
@manngertippoq@|@is hardened@
@manngertitsivoq@|@suffers from constipation@
@manngertoq@|@oak or beech timber@
@manngertorneq@|@spot of rust@
@manngertornerpoq@|@tarnished@
@manngertorniiarpaa, manngertorneriarpaa@|@scrapes the rust off it@
@manngertumineq@|@a piece of hard wood@
@manngikaajaaq@|@hard snow@
@manngoq (maavoq)@|@root (of tr'oe, tooth or the like)@
@manngorpaa, mannguppaa@|@the cold goes from it@
@mannguk (maavoq)@|@mildness (the weather)@
@mannguppaa@|@puts it into something @
@mannguppoq, manngorpoq@|@the cold goes from something@
@manngusserpaa@|@takes the chill off it @
@mannik@|@egg@
@manniliarpoq@|@is out gathering eggs@
@manniliorpoq@|@boils eggs@
@mannissarpoq@|@finds eggs@
@mannissiorpoq@|@looks for eggs@
@mannivigaa, manilerfigaa@|@offers something (-mik) to him@
@manoqut@|@bib@
@manorlorpoq, manullorpoq@|@is assuaged (a pain)@
@manormippaa@|@carries it under the chin@
@manu@|@the place between neck @
@manussaapaa@|@takes it by mistake@
@mappaarpoq@|@lies fiat.@
@mapperpaa (makippoq)@|@opens it @
@mappersaqagaq, mappersigaq@|@book@
@mappersikkat, kakkersorpai@|@stitches a book@
@mappiiniut, mappiuppaa@|@picklock@
@mappikaarpoq, mallerpoq@|@is opened@
@mappikaartoq, mappilappoq@|@paddle wheel, is slashed, split@
@mappilavoq@|@splits easily@
@maqaasinaqaatit@|@you have been greatly missed@
@maqaasinarpoq@|@is missed@
@maqaasineq@|@privation@
@maqaasisaqanngilanga@|@I miss nothing@
@maqaasivaa, maqaasigaa@|@misses him @
@maqigiaq, maqqaq@|@portage@
@maqippaa@|@carries it @
@maqippoq@|@carries a kayak @
@maqisaat@|@vesicant@
@maqisarpaa@|@makes it @
@maqiterpaa@|@taps it gradually @
@maqivoq@|@opens@
@maqqallappoq@|@is satisfied@
@maqqallassaat@|@a dish from which one feels overfull@
@maqqartappoq@|@collapses (a pile of wood, a badly lashed sledge or the like)@
@maqqerluppoq@|@has difficulty in carrying@
@maqulluk@|@(mauvoq) swamp@
@maqunnak@|@pimple@
@maralluk@|@muddy place@
@marallunngorpoq@|@has become muddy@
@maraneq@|@turbid seal oil@
@marangavoq@|@turbid (seal oil)@
@mararna@|@the sediments of it (seal oil)@
@Mariap qimmii@|@Mary's dogs@
@marloqiusat@|@two who belong together@
@marloraapoq@|@has got two@
@marloraaqqaaq@|@poultry@
@marloralik@|@man with two wives@
@marloriarlugu issukkaluarpara@|@twice I shot after it@
@marloriarlunga taavunnarpunga@|@twice I have been north@
@marloriarpaa@|@does something to him or it twice@
@marloriarpoq@|@does something twice@
@marluiit@|@two pluralities@
@marluk@|@two@
@marluk (malik)@|@two@
@marlukkuutaarpai@|@takes them two and two at a time@
@marluliaq@|@twin@
@marlulik, allaat marlulik@|@doublebarrelled gun@
@marlunngorpai@|@makes them two@
@marlunngorpoq@|@it is Tuesday, it is two o'clock@
@marlunngorput@|@they have become two@
@marlunngortussat@|@pieces which are to be divided into two parts@
@marlunnik peqarpoq@|@he has two@
@marlussaq@|@one which can be made into two@
@marlussat@|@several@
@marlussuit@|@only a few@
@marlussuk@|@two figures@
@marluuppaat@|@they are two about it@
@marluupput@|@they are two@
@marluussipput@|@they are two about it@
@marluuttarissat@|@duet in music@
@marneq@|@matter in a boil or inflamed part@
@marniliorpoq@|@matter gathers @
@marniuvoq, maranĩnauvoq@|@is mere sediment@
@marnusaq@|@cap @
@marraap isikkua@|@the appearance of the clay@
@marraat@|@glazing@
@marrangavoq@|@is clayey@
@marraq@|@china@
@marrarpaa@|@puts clay on it@
@marrarterpaa@|@builds it@
@marrarterut@|@trowel@
@marriorfik@|@the like in which the clay is kneaded@
@marriorpoq@|@kneads clay@
@marriortoq@|@potter@
@marrippoq@|@sticks in mud@
@marriuut@|@shovel with which the clay is kneaded@
@marsivoq@|@his eyes water@
@marulluk, marujuk@|@swamp@
@masak@|@moisture@
@masannaveeqqut@|@oil-cloth carpet@
@masappoq@|@is wet @
@masarlerpaa@|@wipes off the water@
@masarlerut@|@to wipe up the water@
@masarsuk@|@meadow@
@masatserpaa@|@moistens@
@masatserut@|@scrubbing broom@
@masiannippoq@|@smells rotten@
@masigissoq@|@with free gills@
@masik@|@gill@
@masiluttoq@|@having the gills fixed@
@masimmiu@|@lernean@
@massa@|@to be sure@
@massa nalunngilatit taamaassasut@|@you know that they are to be that@
@massaat@|@plaster for a wound@
@massak@|@milt@
@massakkut@|@now@
@massalavoq@|@is easily loosened@
@massalippoq, massilippoq@|@is uneven@
@massami@|@Why yes!@
@massappaa (makippoq), malliukkaarpoq, massalaannguaq@|@loosens the skin with the blubber attached to it (the caught seal)@
@massarpaa@|@heals it @
@masserpaa@|@waits till it @
@massiiminerluunniit ajorpoq@|@he cannot even rise a little@
@massiippoq, masseriippoq@|@is slow at healing@
@massikarpoq@|@rises here and there@
@massimaarpoq@|@is sleepy with heat@
@massippoq@|@massippoq, rises@
@massippoq, masseriarpoq@|@heals quickly @
@massorpaa@|@pulls it up, tears it off@
@massuavoq@|@scolds because he is offended@
@massulippoq@|@is rough@
@massuppaa@|@has closed for him @
@massussaq@|@the one for whom the opening is closed@
@matertaa@|@his waist-band@
@materti@|@waist-band@
@matoorpaa@|@covers it several times@
@matoorsivoq ajortaanik matoorfigaa@|@atones for his sin@
@matsamit@|@owing to moisture@
@matsatserpaa@|@moistens it much@
@matserfik@|@door frame@
@matserpaa@|@provides it with a door @
@matsimaasarpoq@|@it is blowing pretty hard@
@matsiuppaa@|@uses it as a door@
@matsuippoq@|@cannot be healed@
@mattaangavoq@|@is half-stripped@
@mattak@|@skin @
@mattallit@|@whales with hairless skins@
@mattarkarpoq@|@slips oft its harness @
@mattarpoq@|@pulls off his over-clothes@
@mattorlerpoq@|@is badly closed@
@mattuffik@|@monastery@
@mattuppaa@|@locks him or it in@
@mattuppoq@|@shuts himself in@
@mattuserpaa@|@applies a plaster to it@
@mattusersorneq@|@bandage@
@mattusersorpoq@|@bandages it@
@mattusiuppaa@|@applies it as a plaster@
@mattut@|@plaster@
@mattutissaq@|@something for a plaster@
@mattutissiaq@|@dressings for a wound@
@mattuttoq@|@monk@
@mattuvooq@|@hard@
@mattuvoq@|@is tough@
@matu@|@door@
@matu iluarsarneq naluaa@|@cannot set the door straight@
@matu matuneq ajorpara@|@I cannot close the door@
@matuaa@|@closes it @
@matuerfigaa@|@opens the door on him.@
@matuerpaa@|@takes the cover off @
@matuersaaserfiit@|@lock@
@matuersaaserfik@|@keyhole@
@matuersaat@|@key@
@matuersaataa@|@his key@
@matuiiffigaa@|@opens the door for him@
@matuiuppaa@|@opens the door for him@
@matuma aappaani@|@in the other world@
@matumani@|@in this world@
@matumaniitilluta@|@while we live in this world@
@matumannga@|@from here@
@matumuuna@|@through this@
@matup sanerarutaa@|@door post@
@matusartoq@|@chip box@
@matusiniarpoq@|@sets a trap @
@matusiniut@|@snare for little birds@
@matuuisartoq@|@porter@
@matuvoq@|@closed@
@meeqqanik paarsisoq@|@nurse@
@meeqqat@|@children@
@meeqqat eertuinnarput@|@the children can only say ê@
@meeraajunnaarpoq@|@is a child no longer@
@meeraq@|@child@
@meerarpaluppoq@|@behaves as a child@
@meerassivoq@|@behaves as a child@
@meerpoq, meertorpoq@|@bleats@
@meerujuk@|@screamer@
@meerujutseqinak@|@don't be so affected@
@meerujutsippoq@|@ indisposed@
@meerujuuvoq@|@indisposed@
@meqqerfii@|@its hair follicles@
@meqqerfik@|@hair follicles@
@meqqoq@|@hair@
@meqqorippoq@|@has a fine covering of hair @
@meqqorissarpaa@|@smoothes the hair of it @
@meqqorluppoq@|@has a thin covering of hair or feathers@
@meqqorterpaa@|@scours it@
@meqqorterutit@|@scrubbing brush@
@meqqua qasutsiaruk@|@slack the sheet a little@
@meqqueruppoq, meqquippoq@|@has lost its hair @
@meqqui@|@its hair@
@meqquiarpaa@|@depilates it@
@meqquitsoq@|@a naked rock @
@meqqujooq@|@long-haired dog@
@meqqulik@|@hairy@
@meqqulinngorpaa@|@dresses it @
@meqqulualik@|@made of wool@
@meqquppoq, meqqunippoq@|@gets hair or feathers@
@meqqusaalik@|@coarse woollen material@
@meqquserpaa@|@provides him with a sewing needle@
@meqquserpoq@|@takes his sewing needle@
@meqqusivik@|@pin cushion@
@meqqut@|@sewing needle@
@meqqutaajarpoq@|@has broken his sewing needle@
@meqqutaarserpoq@|@has lost his sewing needle@
@meqqutaasalik@|@conifer@
@meqqutaasarpoq@|@is of the shape of a needle @
@merarput@|@they have settled @
@merfivoq@|@loses strength@
@merianngunarpoq@|@is nauseating@
@meriannguneq@|@nausea@
@meriannguvoq@|@feels sick@
@meriaraa@|@throws it up@
@meriarnarpoq@|@is enough to make one sick@
@meriarnartoq@|@emetic@
@meriarneq@|@vomiting@
@meriarpaa@|@vomits on it@
@meriarpoq@|@vomits@
@meriarsaat@|@emetic@
@meriarsarpaa@|@makes him vomit@
@merlaaq, merlertoq@|@child@
@merngorpoq@|@cannot stand any more@
@merngortorpoq@|@is exhausted@
@mernguserpoq@|@gathers strength@
@merseraa@|@fears him@
@mersernarpoq@|@it is difficult to have to do with@
@mersersaarpoq@|@uses big words@
@mersorfik@|@sewing machine@
@mersorneq@|@stitch@
@mersorneq akussiaasaq@|@back stitches@
@mersorneri@|@the sewing on it@
@mersorniannguaq@|@tailor bird@
@mersorpaa@|@sews it@
@mersorpoq@|@sews@
@mersortarfik@|@sewing room@
@mersortigaa@|@has her to sew for him@
@mersuuppa@|@sews for him@
@mersuut@|@sewing implement @
@miaapput (mipput)@|@they have settled@
@miaggoorpoq@|@howls a dog@
@mianeraa@|@is cautious about him@
@mianernarpoq@|@one must beware of him or it@
@mianersorpoq@|@cautious@
