@English@|@Macedonian@
@augur (v)@|@pretska`uva@
@augur well@|@nosi dobro@
@augury@|@predznak, pretskazanie@
@August@|@avgust@
@august (adj)@|@veli~estven, vozvi{en@
@auk@|@nor~e (severno)@
@aunt auntie@|@strina, tetka, vujna@
@aura@|@fluid, mesto), zdiv, zra~ewe (na ~ovek@
@aural@|@oralen, primen preku organi za slu{awe@
@aureole aureola@|@oreol@
@auricle@|@u{na {kolka@
@auricular@|@{to ~ul (svedok), slu{en, taen (ispovest), u{en@
@aurora pl. aurorae@|@severna svetlina@
@auspice@|@pokrovitelstvo (mno`), predznak@
@auspicious@|@{to vetuva, budi nade`, povolen, sre}en@
@Aussie@|@Avstralijanec, Avstralijanka@
@austere@|@strog@
@austerity@|@ograni~uvawe, strogost, surovost@
@Australian@|@Avstralijanec, Avstralijanka, avstraliski@
@Austrian@|@Avstriec, Avstrijka, avstrijski@
@autarchy@|@avtarhija@
@authentic@|@avtenti~en, verodostoen, vistinski@
@authenticate@|@doka`uva avtenti~nost@
@authentication@|@doka`uvawe na avtenti~nost@
@authenticity@|@avtenti~nost, verodostojnost@
@author@|@avtor, pisatel, sostavuva~@
@authoress@|@avtorka, pisatelka@
@authoritative@|@avtoritativen, merodaven, stru~en, zvani~en@
@authoritativeness@|@avtoritativnost@
@authoriterian@|@apsolutisti~ki, diktatorski@
@authoriterian (n)@|@apsolutist@
@authorities@|@organi na vlasta@
@authority@|@avtoritet, izvor, kapacitet, ovlastuvawe, ugled, upraven organ, visok stru~wak@
@authorization@|@dopu{tawe, dozvoluvawe, opravduvawe@
@authorization authorisation@|@odobruvawe, opolnomo{tuvawe, ovlastuvawe@
@authorize authorise@|@dopu{ta, dozvoluva, opolnomo{tuva, ovlastuva@
@authorship@|@avtorstvo@
@autism@|@autizam@
@autistic@|@autisti~ki@
@autobiographer@|@avtobiograf@
@autobiographic@|@avtobiografski@
@autobiography@|@avtobiografija@
@autocracy@|@avtokratija, neograni~ena mo}, samovlasnost@
@autocrat@|@avtokrat, samovlasnik@
@autocratic@|@avtokratski@
@autograph@|@avtogram, svoera~en potpis@
@autograph (v)@|@potpi{uva svoera~no@
@Autolycus@|@Avtolik (sin na Hermes)@
@automata@|@avtomati@
@automate@|@avtomatizira@
@automatic@|@avtomatski@
@automation@|@avtomatizacija@
@automatism@|@avtomatizam@
@automaton@|@avtomat@
@automobile auto@|@avtomobil@
@autonomous@|@avtonomen, samostoen@
@autonomy@|@avtonomija, samostojnost@
@autopsy@|@autopsija@
@autostrada@|@avtopat@
@autosuggestion@|@avtosugestija@
@autotype@|@faksimil, pravi faksimil@
@autumn@|@esen@
@autumnal@|@esenski@
@auxiliary@|@{to pomaga, pomo{en@
@auxiliary (pl)@|@pomo{ni trupi (vo vojna)@
@avail (n)@|@korist, polza@
@avail (oneself of)@|@ispolzuva (mo`nost), koristi@
@availability@|@mo`nost da se nabavi, raspolo`livost@
@available@|@{to va`i, dostapen, raspolo`liv, upotrebliv@
@avalanche@|@lavina@
@avarice@|@al~nost, skr`avost@
@avaricious@|@al~en, lakom, skr`av@
@avaunt@|@i{@
@avenge@|@odmazduva@
@avenge oneself@|@se odmazduva na nekogo@
@avenger@|@odmazdnik, odmazduva~@
@avenue@|@aleja, avenija, pad (do uspeh), priod@
@aver@|@nastojuva vrz izjavata, tvrdi@
@average@|@prose~en, prosek, sredna vrednost@
@average (v)@|@presmetuva sredna vrednost, prose~no iznesuva, prose~no vr{i@
@averment@|@dokaz, potvrda@
@averse@|@neblagonaklon, odboen@
@aversion@|@antipatija, odbivnost, odvratnost@
@aversive@|@{to pri~inuva odbivnost@
@avert@|@odvra}a (misli), otklonuva, spre~uva (nesre}a)@
@aviary@|@pti~arnik@
@aviation@|@avijacija@
@aviator@|@avijati~ar@
@avid@|@straden (za slava), strasten (~itatel)@
@avidity@|@golema `elba, stradnost, strast@
@avocado@|@avokado@
@avocation@|@hobi, pasija@
@avoid@|@izbegnuva, odbegnuva, zaobikoluva (pra{awe)@
@avoidable@|@izbegliv@
@avoidance@|@izbegnuvawe, odbegnuvawe, zaobikoluvawe@
@avow@|@izjavuva@
@avowal (n)@|@izjava, priznavawe@
@avowed@|@otvoren (neprijatel)@
@avuncular@|@od vujko, staratelski (sovet)@
@await@|@~eka, o~ekuva@
@awake@|@buden@
@awake awoke awoken@|@se budi, se razbuduva@
@awaken@|@budi, razbuduva@
@awakening@|@budewe, osvestuvawe@
@award@|@nagrada, otkup, stipendija@
@award (v)@|@dodeluva (nagrada)@
@aware@|@svesen@
@awareness@|@poznavawe, soznanie, svest@
@awash@|@preplaven@
@away@|@daleku, von@
@away (adj)@|@vo gosti (na me~)@
@Away with it!@|@Na videlo!, Poka`i go!@
@awe@|@prepla{uva, stravopo~ituvawe@
@awe inspiring@|@{to predizvikuva stravopo~it@
@awe stricken@|@prepla{en@
@awesome@|@stravoten, u`asen@
@awful@|@gaden, u`asen@
@awfully@|@stra{no mnogu@
@awfulness@|@grozotija, stravotija@
@awhile@|@kuso vreme, na~as, za~as@
@awkward@|@komplikuvan (za rakuvawe), nesmasen, nesnaodliv, nezgoden, smeten@
@awkwardness@|@neprijatnost, nesmasnost, nesnaodlivost@
@awl@|@{ilo@
@awn@|@osilka (na klas od `ito)@
@awning@|@platnena zavesa@
@awry@|@nakrivo, naopaku@
@axe@|@sekira@
@axe (v)@|@bri{e (od spisok na kandidati), ukinuva (rabota)@
@axiom@|@aksioma@
@axiomatic@|@aksiomatski@
@axis (pl) axes@|@oska (na velosiped avtomobil)@
@aye@|@na zapoved, vedna{@
@aye (ay)@|@da, glas Za (pri glasawe), taka e@
@azalea@|@azalea@
@azure@|@azurna (boja)@
@baa@|@blee, bleewe@
@babble@|@`ubori, drdori, mrmori, nagaleno zboruva@
@babble (n)@|@`uborewe, drdorewe@
@babbler@|@drdorko@
@babe@|@~edo, detence@
@babel@|@xagor@
@baby@|@bebe, detence, male~ko, sakana (sl)@
@baby car@|@mal avtomobil@
@baby carriage (Am)@|@koli~ka za bebe@
@baby grand@|@pijanino@
@baby minder@|@detska neguvatelka@
@baby sister@|@pomlada sestra@
@baby sit@|@~uva dete ili bebe@
@baby sitter@|@bebisiter@
@babyhood@|@rano detstvo@
@babyish babyly@|@bebe{ki, nezrel@
@bachelor@|@ergen, mom~e@
@bachelor girl@|@nema`ena `ena (sl)@
@Bachelor of Arts (Science)@|@najnizok akademski rang, zavr{en student@
@bachelorhood@|@ergenstvo@
@bacillus bacilli (pl)@|@bakterija@
@back@|@nanazad, nazad, odzadi@
@back (n)@|@grb, oblegalka, ple}i, zad, zaden del, zadnina@
@back alley@|@tesna (temna) uli~ka@
@back away@|@se povlekuva@
@back basket@|@koj {to se nosi na grb@
@back door@|@zadna vrata@
@back down@|@napu{ta, se otka`uva@
@back drive@|@zaden pogon (na vozilo)@
@back drop@|@kulisi, zadna teatarska zavesa, zadnina (fig)@
@back issue@|@staro izdanie@
@back n@|@bek (fudbal)@
@back number@|@star broj (od spisanie)@
@back onto@|@se navaluva na, se potpira na@
@back out@|@se povlekuva (od daden zbor)@
@back seat@|@podredena polo`ba (fig), zadno sedi{te (vo auto)@
@back talk@|@navredliva raspravija@
@back up@|@poddr`uva, potkrepuva@
@backbite@|@kasa, navreduva (fig)@
@backbone@|@potpora, rbet, stolb (fig)@
@backbreaking@|@iscrpuva~ki@
@backdate@|@antidatira, ima retroaktivna va`nost@
@backer (n)@|@finansier, potpomaga~@
@backering@|@poddr{ka@
@backfire@|@rano palewe (na motor)@
@backformation@|@zboroobrazuvawe@
@background@|@podloga, zadnina@
@backhand@|@bekhend (vo tenis)@
@backhanded@|@dvosmislen, sarkasti~en, so bekhend@
@backing@|@poddr{ka@
@backless@|@bez grb (fustan)@
@backlog@|@nesvr{eni raboti@
@backmost@|@najposleden, najzaden@
@backside@|@zadnik@
@backstage@|@zad kulisi@
@backstairs@|@podmolen, sporedni skali, taen@
@backstroke@|@plivawe na grb@
@backward@|@baven, nedorazvien, obraten, upaten nanazad@
@backwardness@|@bavnost, nedorazvienost, zaostanatost@
@backwards@|@nanazad, naopaku, obratno@
@backwash@|@dvi`ewe nanazad, neprijatna posledica (fig)@
@backwater@|@mirna voda, mrtvica (kraj re~en breg)@
@backwater (fig)@|@nazadnost, zaostanatost@
@backwoods@|@gusta (neras~istena {uma)@
@backwoods (v)@|@odi nazad, poddr`uva, potkrepuva, se vra}a@
@backwoods (vt)@|@oblo`uva, postavuva (palto)@
@bacon@|@slanina@
@bacterial@|@bakteriski@
@bacteriologic al@|@bakteriolo{ki@
@bacteriologist@|@bakteriolog@
@bacteriology@|@bakteriologija@
@bad (n)@|@gubitok, kuso ( vo smetka), lo{o, zlo@
@bad blood (bad feeling)@|@nepodnesuvawe, netrpelivost@
@bad debt@|@dolg {to ne mo`e da se vrati@
@bad lands (Am)@|@pustelija@
@bad language@|@lo{i zborovi, pcosti@
@bad language (bad word)@|@pcost, prosta~ki zbor@
@bad worse worst@|@lo{, neprijaten, rasipan, zol@
@badge@|@amblem, bex, grb, simbol, zna~ka, znak@
@badger@|@dodeva, jazovec, voznemiruva@
@badly wounded@|@te{ko ranet@
@badminton@|@badminton@
@badtempered@|@izbuvliv, lo{o raspolo`en@
@baffle@|@onevozmo`uva, spre~uva (namera), zbunuva@
@bag (n)@|@}ese, ~anta, podo~nik, ta{na, torba, vre}a@
@bag (noun)@|@be~vi (mn), podo~nik, ulov@
@bag (v)@|@krade, stava v torba, ulovuva, zdipluva@
@bag (vt)@|@otstreluva, visi labavo@
@bag and baggage@|@cakum pakum, so site raboti@
@bagatelle@|@igra (kako bilijard), sitna neva`na rabota@
@bagel@|@|evrek@
@baggage@|@baga`, drska devojka, mustra@
@baggage room (Am)@|@garderoba (na stanica)@
@baggy@|@labav, ra{iren, ras{kemben@
@bagpipes@|@gajda@
@bail (n)@|@depozit, garancija, kaucija (vo sud)@
@bail (v)@|@osloboduva so kaucija, polo`uva kaucija@
@bail 2@|@crpi voda od@
@bail out@|@skoka so padobran@
@bail out the boat@|@prazni voda od ~amec@
@bail sb out@|@osloboduva so kaucija nekogo@
@bailee@|@~ovek koj ~uva deponirani pari, depozitar@
@bailey@|@dvor ograden so visok yid, nadvore{en yid od zamok@
@bailment@|@deponirawe pari@
@bailor@|@~ovek koj deponira pari, deponent@
@bait@|@mamec, mamka@
@bait (v)@|@hrani (kow), razdraznuva (`ivotno), stava mamec na@
@bake@|@mesi, pe~e@
@bake in the sun@|@se son~a@
@baker@|@furnaxija@
@bakery@|@furna, lebarnica@
@baking powder@|@pra{ok za pe~ivo@
@balance@|@bilans, ostatok, ramnote`a, saldo, vaga@
@balance (v)@|@balansira, izmiruva (smetki), izramnuva, meri@
@balance in hand@|@sostojba vo blagajna@
@balance of account@|@saldo@
@balance of power@|@ramnote`a na silite@
@balance of trade payments@|@trgovski bilans@
@balance the account with@|@se presmetuva so, sreduva smetki so@
@balance the budget@|@izramnuva buxet@
@balance the ledger@|@zaklu~uva glavna kniga@
@balcony@|@balkon@
@bald@|@}elav, ednoli~en, nenakiten, ogolen (drvo predel)@
@bald head (bald pate)@|@}elavko@
@baldly@|@bez zaobikoluvawe, otvoreno@
@baldness@|@}elavost@
@bale@|@bala, vrzuva vo bala@
@bale (arch)@|@zlo, zloba@
@bale out@|@prazni voda, skoka od padobran@
@baleful@|@zloben, zol@
@balet dancer@|@balerina, baletan@
@balk (v)@|@ispla{uva, pokolebuva, pre~i, se zapira, spre~uva@
@balk baulk@|@greda, me|a, prepreka@
@ball@|@grutka, klop~e, kugla, topka, zrno (kur{um)@
@ball (n)@|@gluposti, jabolko (oko stapalo), madiwa (mn)@
@ball (v)@|@pravi kako topka, se sklop~uva@
@ball 2@|@bal@
@ball bearings@|@kugli~en lager@
@ballad(e)@|@balada, lirsko epska narodna pesna@
@ballast@|@~akal, balast, pesok (za podloga na pruga)@
@ballast (v)@|@obezbeduva balast, odr`uva ramnote`a@
@ballerina@|@balerina@
@ballet@|@balet@
@ballistic@|@balisti~ki@
@ballistics@|@balistika@
@balloon@|@balon@
@balloon (v)@|@se naduva, tivko leta@
@balloon fabric@|@balon svila, balonska tkaenina@
@balloonist@|@leta~ vo balon@
@ballot@|@glasa~ko liv~e (top~e), glasawe (tajno)@
@ballot (vi)@|@tajno glasa, vle~e `repka@
@ballot box@|@glasa~ka kutija@
@ballpoint pen@|@hemisko penkalo@
@ballroom@|@sala za tancuvawe@
@balls up@|@rasipuva, upropastuva (we)@
@balm@|@balzam, melem, prijaten miris, uteha (fig)@
@balmy@|@balzamski, blag, mek@
@baloney (Am)@|@prazna fraza@
@balsam@|@balsam, balsamovo drvo (grmu{ka), melem@
@balsamic@|@balsamski, mirisliv@
@balustrade@|@balustrada, ograda na balkon@
@bamboo@|@bambus@
@bamboozle@|@izigruva, izla`uva@
@bamboozle sb into doing sth@|@namamuva nekoj da stori ne{to@
@ban@|@zabrana (slu`bena)@
@ban (v)@|@otrfrluva, ukinuva, zabranuva@
@ban sb from sth@|@otstranuva nekogo od ne{to@
@banal@|@banalen, dosaden, prost@
@banality@|@banalnost@
@banana@|@banana, lud netokmu (fig sl)@
@banana split@|@sladoled so banana@
@band@|@~eta, banda, dru`ina, grupa, zabaven orkestar@
@band 2@|@lenta, pojas, pruga (od dezen), remen, vrvca@
@band 2 (v)@|@povrzuva, soedinuva, zdru`uva@
@band master@|@dirigent na zabaven orkestar@
@bandage@|@zavoj@
@bandage (v)@|@previva, zaviva (rana)@
@bandbox@|@kutija za {apki@
@bandit@|@bandit, razbojnik@
@banditry@|@razbojni{tvo@
@bandoleer bandolier@|@redenik (za ramo)@
@bandsman@|@svira~ vo zabaven orkestar@
@bandwagon@|@kolata na ~elo (na povorka)@
@bandy (2)@|@kriv (noze), vo forma na O@
@bandy (arch)@|@dofrluva, podava, potfrluva, razmenuva (zborovi)@
@bandy a news about@|@{iri glasini@
@bandy legged@|@krivonog@
@bandy words with sb@|@rasprava so nekogo@
@bane@|@otrov, propast@
@baneful@|@otroven, pogibelen@
@bang@|@bum, silno udira, tres, treska, tresok, udar@
@bang (adv)@|@pravo, tokmu@
@bang away@|@raboti na@
@bang into@|@se ~uknuva vo@
@bang out@|@glasno sviri, pi{uva na ma{ina@
@bangle@|@alka, belezgija, brezletna@
@banish@|@progonuva, proteruva@
@banishment@|@progonstvo, proteruvawe@
@banister@|@dr`a~, ograda (od skali), parmak@
@banjo banjoes@|@benxo@
@bank@|@breg (re~en), greben (od pesok), nasip@
@bank (2)@|@nagib (na pat), nanos, snop oblaci@
@bank (3)@|@banka@
@bank (4)@|@red od cilindri (vo motor)@
@bank (v)@|@stava pari na banka@
@bank account@|@`iro smetka, tekovna smetka@
@bank draft@|@finansiska menica@
@bank on@|@se nadeva na, veruva vo@
@bank rate@|@diskontna stapka@
@bank up@|@nasipuva, nasobira, natrupuva, ograduva so nasip, ome|uva, se nakrivuva (avion kola), se navaluva, stava drva (v ogan)@
@bankbill@|@finansiska menica@
@banker@|@bankar@
@banker's card@|@bankova karti~ka, kredit karti~ka@
@banknote@|@banknota@
@bankrupt@|@bankrot, bankrotiran@
@bankruptcy@|@bankrotstvo@
@banner@|@bajrak, transparent, zname@
@banner headline@|@udaren naslov@
@bannock@|@zoben (p~enkaren) leb@
@banns (pl)@|@objavuvawe na ven~avka@
@banquet@|@banket, gozba@
@banquet (v)@|@se go{teva@
@bant@|@dietira, na dieta e (za slabeewe)@
@bantam@|@bantam petel@
@bantam (fig)@|@petle, pi`e, siten borben ~ovek, xuxe@
@bantamweigh@|@bantam kategorija (vo boks)@
@banter@|@giba, pecka, zadeva, zadira@
@banter (n)@|@zadevawe, zadirawe@
@banterer@|@zadeva~, zadorko@
@bantering@|@zadirliv, zadorliv@
@baptism@|@kr{tevawe, kr{tevka@
@baptism of fire@|@voeno kr{tevawe@
@baptismal (adj)@|@krsten, za kr{tevka@
@Baptist@|@baptist, krstitel@
@baptize baptise@|@kr{teva, krstuva, pokrstuva@
@bar@|@{ank, {ipka, bar, greda, kalap (sapun), lenta (od medal), ograda (vo sudnica), peso~en greben (pod voda), pre~ka, pregrada, prepreka, pruga, stap, tabla (~okolada), taktna crti~ka, zapreka, zrak@
@Bar@|@advokatura@
@bar (v)@|@{parta, crta linii, popre~uva, spre~uva, zabranuva, zapre~uva, zatvora so re{etka@
@barb@|@bocka, kuka (od jadica strela)@
@barbarian@|@divjak, varvarin@
@barbaric@|@grub, neciviliziran, varvarski, varvarski@
@barbarism barbarity@|@svirepost, varvarizam, varvarstvo@
@barbarize@|@varvarizira@
@barbarous@|@varvarski@
@barbecue@|@{i{, celo `ivotno na ra`en pe~eno, ra`en@
@barbecue (v)@|@pe~e na otvoren ogan, pe~e na ra`en@
@barbed@|@{to ima kuka, kukest@
@barbed wire@|@bockava `ica@
@barbel@|@mrena@
@barber@|@berber@
@barber's shop@|@berbernica@
@barbican@|@fortifikacija, kale@
@barcarolle@|@barkarola@
@bard@|@bard, poet@
@bare@|@bos, gol, nepokrien, otkrien, sobuen@
@bare (v)@|@ogoluva, otkriva, poka`uva zabi, razgoluva, razotkriva@
@bare of sth@|@bez ne{to, li{en od ne{to@
@bare one's head@|@vadi kapa (kako pozdrav)@
@bare one's heart (soul)@|@si go otvora srceto@
@barebacked@|@neosedlan (kow)@
@barefaced@|@bessramen@
@barefoot.ed@|@bosonog, so bosi noze@
@bareheaded@|@gologlav@
@barely@|@edvam, samo@
@bargain@|@evtinija, kupoproda`ba, spogodba, zdelka (zaklu~ena)@
@bargain (v)@|@se cenka, se pazari, se pogoduva@
@bargain for@|@o~ekuva@
@bargain hunter@|@koj bara kupuva po niski ceni@
@bargain price@|@niska reklamna cena@
@barge@|@{leper, vid golem ~amec so vesla, vid voen brod@
@barge (v)@|@prenesuva so {leper@
@barge about@|@nezgrapno odi, se teteravi@
@barge in@|@natrapuva, upa|a (vo tu| razgovor)@
@barge into (against)@|@se ~uknuva so, se vturnuva vo@
@bargee@|@~len na posada na {leper, kapetan na {leper@
@bargeman@|@kapetan na {leper@
@baritone@|@bariton@
@bark@|@lae, puka, se dere, se razvikuva@
@bark (1)@|@kora (od drvo)@
@bark (1) v@|@bi~i, guli, lupi kora (od drvo), srinuva (ko`a)@
@bark (3)@|@barka, jahta, kaj~e@
@bark (n)@|@lae`, laewe@
@bark up the wrong tree@|@se obra}a na pogre{no mesto, vika na pogre{en ~ovek@
@barker@|@~ovek {to mnogu vika (lae)@
@barley@|@ja~men@
@barley sugar@|@slad od ja~men@
@barleycorn@|@zrno od ja~men@
@barmaid@|@{ankerka@
@barman@|@{anker@
@barmy@|@budalest, mrdnat@
@barn@|@{tala (Am), ambar, plevna@
@barn dance@|@folkloren tanec (amerikanski)@
@barnstorm@|@patuva i dava pretstavi, predizborna propaganda@
@barometer@|@barometar@
@barometric@|@barometarski@
@baron@|@baron, industriski magnat (Am)@
@baronage@|@baroni, baronstvo@
@baroness@|@baronica@
@baronet@|@baronet@
@baronetcy@|@baronetstvo@
@baronial@|@baronski@
@barony@|@baronstvo@
@baroque@|@barok@
@baroque (adj)@|@baroken@
@barque (bark)@|@kaj~e@
@barrack (v)@|@izvikuva, negoduva (protiv), se ismejuva, smestuva vo kasarna (baraka)@
@barracks@|@baraka, kasarna@
@barrage@|@bara`en ogan, brana (re~na), buica (zborovi pra{awa)@
@barrage (v)@|@opsipuva (so zborovi)@
@barrel@|@barel, bure, burence od pu{ka, cilindri~en sad@
@barrel (v)@|@polni bure so, stava vo bure@
@barrel organ@|@vergla@
@barrelled@|@od bure (pivo)@
@barren@|@jalov, neploden, pust@
@barren (fig)@|@beskorisen, naprazen@
@barren discussion@|@prazna diskusija@
@barrenness@|@jalovost, neplodnost@
@barricade@|@barikada@
@barricade (v)@|@barikadira@
@barrier@|@bariera, pre~ka, zapreka@
@barring (prep)@|@bez, isklu~uvaj}i@
@barrow@|@koli~ka@
@barrow (2)@|@mogila@
@barrow boy (barrow man)@|@uli~en prodava~ na ovo{je@
@bartender@|@{anker@
@barter@|@kompenzaciska zdelka, razmena, trampa, trampa@
@barter (v)@|@razmenuva, trampi@
@barter business@|@kompenzaciska zdelka@
@barterer@|@~ovek koj vr{i razmena@
@barytone@|@bariton@
@base@|@baza, baza (vo matematika hemija), osnova, podloga, podno`je, temel, vojni~ka baza@
@base (adj)@|@dolen, ne~esen, nizok, prost@
@base (v)@|@bazira, zasnovuva temeli na@
@base metal@|@neblagoroden metal@
@baseball@|@bezbol@
@baseboard@|@podna lajsna@
@baseless@|@neosnovan@
@basement@|@podrum, suteren@
@bash@|@udira silno@
@bash (n)@|@silen udar@
@bashful@|@srame`liv@
@bashfulness@|@srame`livost@
@basic@|@bazi~en, bazi~en (vo hem), fundamentalen, osnoven@
@basically@|@osnovno, vo osnova@
@basics@|@osnova, osnovni elementi@
@basil@|@bosilek@
@basilica@|@bazilika@
@basilisk@|@gu{ter (ju`noamerikanski)@
@basin@|@bazen, dlaboka ~inija, dok, legen, oblast, re~en sliv, vnatre{no pristani{te@
@basis (bases pl)@|@podloga@
@bask@|@se gree, se son~a, u`iva (fig)@
@bask in sb's favor@|@ima (dobiva) ne~ija naklonost@
@basket@|@ko{, ko{ara, ko{nica@
@basketball@|@ko{arka@
@basketry@|@pleteni predmeti (od pra~ki), pletewe@
@basketwork@|@pleteni predmeti (od pra~ki)@
@basrelief@|@bareljef@
@bass (1)@|@grge~@
@bass (2)@|@liko, rafija@
@bass (3)@|@bas@
@basset@|@jazovi~ar@
@basset horn@|@klarinet (vid na)@
@basset hound@|@jazovi~ar@
@bassinet@|@ko{nica za bebe@
@bassoon@|@fagot@
@bast@|@liko, rafija@
@bastard@|@kopile, neranimajko (fig), vonbra~no dete@
@bastard (adj)@|@neprav, nezakonski@
@bastardize@|@izopa~uva@
@bastardy@|@vonbra~nost@
@baste (1)@|@{ie, firca, ildisuva@
@baste (2)@|@potturuva, preliva (pe~eno meso so sok)@
@baste (3)@|@bie, udira@
@bastinado@|@biewe po tabani (so pra~ka)@
@bastinado (v)@|@udira po tabani (so pra~ka)@
@bat (1)@|@liljak@
@bat (2)@|@palka (kriket bezbol), piralka@
@bat (2) v@|@udira so palka@
@bat (3)@|@namignuva@
@batch@|@furna kola~i, furna leb, grupa lu|e@
@bate@|@smaluva, sni`uva, zadr`uva (zdiv)@
@bath@|@bawa, kada, kapewe@
@bathe@|@kapewe, miewe, plivawe@
@bathe (v)@|@pliva, se bawa (v ezero), se kape, se mie@
@bather@|@kapa~@
@bathgown@|@bademantil, bawarka@
@bathing cap@|@kapa za kapewe@
@bathing machine@|@kabina na trkala za pla`a@
@bathing suit@|@kostum za kapewe@
@bathrobe@|@bawarka@
@bathroom@|@bawa, toalet (Am)@
@bathtub@|@kada, se kape (vo kada)@
@batik@|@batik, pe~atena tkaenina, pe~atewe tkaenini@
@batiste@|@batist@
@batman@|@posilen@
@baton@|@{tafeta, palka, pendrek, stap, stap~e@
@bats (sl)@|@{ut, ~uknat, lud@
@battalion@|@bataljon@
@batten@|@greda, letva@
@batten down@|@pricvrstuva so letvi@
@batten on@|@`ivee na ne~ij grb@
@batter (1)@|@buvta, iskrivuva (forma), izobli~uva, udira silno@
@batter (2)@|@ka{a (za pala~inki)@
@batter down@|@sru{uva, urnuva (vrata)@
@battering ram@|@boen oven, greda so `elezna glava@
@battery@|@akumulator, baterija, baterija (voena edinica), komplet@
@battle@|@bitka, boj, pobeda@
@battle axe@|@goropadna `ena, te{ka bojna sekira@
@battle cruiser@|@krstosuva~@
@battle royal@|@`estoka bitka@
@battlefield@|@bojno pole@
@battleground@|@bojno pole@
@battlements@|@kruni{te, pokriv od tvrdina@
@battleship@|@boen brod@
@batty@|@{ut, budalest, mrdnat@
@bauxite@|@boksit@
@bawd@|@`ena koja dr`i javna ku}a, podveduva~ka, prostitutka@
@bawdy@|@besramen, vulgaren@
@bawl@|@se dere, vika@
@bawl sb out@|@kara nekogo, se dere na nekogo@
