@English@|@Laotian (romanized)@
@classifier: pencil@|@thaeng@
@classmate@|@pheun huam xan@
@clause@|@pá nhok@
@clause of treaty@|@khor san ya@
@clavicle@|@kádoukmeet@
@claw@|@lēp@
@clay@|@din dak, din niav, mat ti ka@
@clean@|@á ná: may, á ná: may, á ra xa, kieng, ku son, là:ng, phaev thang, phi mon, phong, phorng, phorng, sá ard, sá ard sá arn, sá arn, sá kao, să:, vi mon, vi rard, vi soud@
@clean bright@|@sor say@
@clean color@|@si: sa ard@
@clean out@|@kuat lang@
@clean the car@|@xed lod@
@clean the floor@|@thu pheun heun@
@clean the windows@|@xed keo pong yiem@
@clean up@|@kuat lang, sá sang@
@cleaned out@|@port siang pan khay@
@cleaner@|@săo chay@
@cleaning rag@|@khi hiv@
@cleaning rod@|@sae@
@cleanliness@|@khuem sa ard, phi sout, săng soud, săo cha, sút thi@
@cleanlyness@|@sú chi@
@cleanse rice before making vermicelli@|@xer khao@
@cleansing purity@|@vó: tharn@
@clear@|@cha chaem, cha chaeng, cha rat, chaem, chaem chaeng, chaem sai, chaeng ka chang, chaeng sat, chaev, chane, daen dae, hung, kájarng, lō:ng, naew nae, nàm say, nea xad, pá chack, phi lat, phi mon, phorng, phorng sai, phut phong, sá vang, sá vang, say, si: say, sót say, sú ka la, sú vi mon, tiang liang, ting ling, veui, vi, vi mon, vi phar dar, vi rard, vi raud@
@clear (land)@|@thang@
@clear (le)@|@khuk@
@clear a ricefield@|@xao na@
@clear a road to@|@tat thang lot pay@
@clear a way through a forest@|@buk pa pha dong@
@clear as crystal@|@chaeng sa vang@
@clear away grass@|@thang hya@
@clear away the grass@|@thang phong@
@clear away the table@|@leuk to@
@clear daylight@|@hung cheng@
@clear land@|@buk berk, xao@
@clear land for upland rice@|@thang hay@
@clear of@|@port pong@
@clear of crime@|@phi sut hay phu thi theuk kao ha@
@clear or pay off a debt@|@xam la ni, xam la ni@
@clear roughly@|@thang touy pai@
@clear suddenly@|@vā@
@clear the forest@|@thang pa@
@clear the ground@|@khuy@
@clear the way@|@thang thang@
@clear up after rain@|@fà oeun@
@clear vermicelli@|@sên lon@
@clear voice@|@sĭa:ng chaem say@
@clearance sale@|@lé: lăng kai@
@cleard area@|@dern paen@
@clearing@|@sá narm, sá narm, thi phen, xong@
@clearing for new ricefield@|@ná: xao@
@clearly@|@chat chan, lia:ng lard, lūa:ng lard, nyo ni so, sá sarn, yang chaem cheng@
@clearly seen@|@chaeng chong phong@
@clear-sighted@|@thi hu than@
@cleft@|@hao tek@
@cleft stick for roasting@|@may hip@
@clenched hand@|@khá: mu@
@clerk of court@|@cha san@
@clerk-secretary@|@sá mien@
@Clerodendron garrettianum Craib@|@khon phom@
@clever@|@ko vit, nāk pard, pe: sa la, phip vay, sá lard, sá lard, sá lard, sá lard, sá lard sá liew, sá lard sá liew, sá liew, sá liew, sá liew sá lard, sá liew sá lard, sá nard, săn thard, vi sar ra tha@
@cleverness@|@deu chay@
@clice@|@sáp@
@click the tongue@|@ká dor pak, ter pak@
@click the tongue to impose silence@|@chu phak@
@client@|@lù:k khvá:t, sá má: sik@
@cliff@|@horm pha, na pha, pha, si lar@
@climate@|@lóm far ar kard, phu mi a kat@
@climate condition@|@din pha a kat@
@climax@|@sú khar va di:@
@climb@|@pin, sŭ:ng kheun@
@climb a mountain@|@kheun phu@
@climb a river bank@|@kheun phang@
@climb a tree@|@ka daeb daeb, kádebkadeb, kheun ton mai, pin mai@
@climb in through a window@|@pin khao thang na tang@
@climb into the saddle@|@pin kheun therng an@
@climb the stairs@|@kheun ban dai@
@climb up@|@pin kheun@
@climbing edible@|@kheung khiav@
@climbing edible plant@|@kheung kham@
@climbing fish@|@pa: mor@
@climbing plant@|@bang xan, ka that leaut, kh ka, khao kham, khi ma, lì:n li, nod, sá vei, xa mor noy, xa mor noy, xa ya nang, xai nam, xi pha@
@climbing plant having edible fruit@|@thua ye@
@climbing plant having edible leaves@|@lì:n mang kon@
@climbing plant used medicinally for sores and veneral disease@|@thua phi@
@climbing plant used medicinally for the alleviation of an inflated abdomen in children@|@mung ka tay@
@cling to@|@feu@
@clinic@|@hong pha ya ban@
@clinker@|@fun than hin@
@clip@|@pô:k, pô:k, pô:k, pô:k@
@clip of the top@|@xid@
@cloak@|@pha biang, să: ti ka@
@clock@|@mong, ná: li kar, ná: li kar nhan ta, ná: li kar tung@
@clockwise@|@thak khi na vat@
@clod of earth@|@kon din@
@clog chin@|@khang vam@
@close@|@át, át, kan, kay, mor mor ni, pit, sá mi: pa, sá nid, xor lor@
@close a book@|@ngap ngang seu@
@close a meeting@|@pit pa xum@
@close an account@|@ngop ban si, pit ban xi@
@close book@|@phap pheum@
@close circuit@|@vóng chod@
@close mortuary ceremony@|@leuk moung khoun@
@close one’s mouth@|@ngap phakj, pit pak@
@close the curtain@|@pit pha kang@
@close the door@|@át tou@
@close the fist@|@kam@
@close the frontier@|@pit ta, pit xay den@
@close the meeting@|@leuk pa xoum@
@close the tap@|@mot nam@
@close the window@|@ngap phong yiam@
@close tightly@|@pha nit@
@close to@|@khu khiang kan, pea@
@close to each other@|@kay kan, kay kheing kan@
@close to the eyes@|@kay ta@
@close to you@|@kay chao@
@close together@|@kai sit kan, thi, thi kay@
@close up@|@át thi:, át thi:, chor, sāng pid@
@closed in@|@tib, tib tan@
@closely@|@kay ya kay zit, sá nid xid xarp@
@closing in on@|@ka san@
@closing word of an incantation@|@sá var ha@
@closure day@|@meu lerk@
@cloth@|@day, ka sa, pha, pha nung, pha phae, pha phon, phae, phen phae, să: dok, vāt thar  vāt thung@
@Cloth covering@|@fá@
@cloth covering the breast@|@pha ing erk@
@cloth dyed a dark yellow@|@ka sa va@
@cloth dyed a dark yellow for bonzes@|@ka sa va phat@
@cloth heavily woven with gold thread@|@sĭa: la barp@
@cloth merchant’s shop@|@han khay pha@
@cloth of silk and wool intermixed@|@ka ma lit@
@cloth offered in anonymous grant for monk@|@pha ban sou koun, pha pa@
@cloth offered to monks from the end of lent to the full moon of 12th month@|@pha ka thin@
@cloth or fiber bag@|@thay@
@cloth placed for a bonze to sit on@|@nī si: tha na@
@cloth remnant@|@sê:t phar@
@cloth worn by a bonze as an undershirt@|@pha sa ngiap@
@cloth woven of ramie@|@phae phan@
@clothe oneselgf@|@bang to@
@clothes@|@kheuang, seua phar@
@clothes brush@|@paeng pat kheung@
@clothes line@|@hao tak pha, phiak tak pha@
@clothing@|@kheuang nung, kheuang taeng kay, pha nung pha hom, pha phon, pha phon thon sa bay, phu sa, seua song, song seua, sông seua, vāt thar  vāt thung@
@clothing warehouse@|@să:ng seua phar@
@cloths line@|@hao tak kheung@
@cloud@|@fa, feu, kon mek, me kha, mek, nā phar khod, pha la hok, vā la hod, vá: ri thon@
@clouds@|@mek mae ko, mek pheu, nā phar tha vib@
@cloudy@|@fang, kim, meut khum, meut mon, ngao@
@cloudy sky@|@pha yap phon@
@cloudy weather@|@fà bot@
@cloudy weather preceding a storm@|@meut pha meut phon, meut pha mua phon@
@cloudy(as before a storm)@|@ngam@
@clove@|@kan phu@
@clove of fruit@|@fak mak mai@
@clown@|@ta lok, tua ta lok@
@club@|@div, hong xek@
@club soda@|@xo da@
@club together@|@līa: lá:y kan@
@clue@|@horng hory, vi: vaew@
@clump of bushes@|@fum, fum mai@
@cluster consonant@|@pha yan sa na khuap@
@cluster of four stars@|@tha ni sa tha@
@cluttered@|@āng, āng@
@coach@|@son phi seid@
@coachman@|@să: ra thi:@
@coagulate@|@kam khao@
@coal@|@than, than hin@
@coal mine@|@bor than hin@
@coal tar@|@khi than hin@
@coalition@|@kan som phan tha mit@
@coarse@|@meun theun@
@coarse language@|@pha ru sa vat@
@coarsely@|@yang nyap nyap@
@coarsely woven panier@|@ka ta koy@
@coast@|@him phang, lor@
@coast along@|@lìa:p nam@
@coast guard@|@chao na thi hak sa nam, chao na thi hak sa nam@
@Coast Guard@|@nyam fang@
@coastline@|@sên fung tha lei, xai fang@
@coat@|@keung khao, lìa:m, lva:t, pay si, sá na, să: ti ka, seua nhay, ta@
@coat lightly@|@laed@
@coat with@|@lóng pheun@
@cobbler@|@xang paeng keup, xang tat keub@
@cober a pot@|@ngam mor@
@cobra@|@ngu thao@
@cobver@|@ngam@
@coccyx@|@kon kop@
@cochairman@|@pá tharn haum, pá tharn khou@
@Cochin China (French)@|@ko saeng sin@
@cochineal@|@me khang@
@cock@|@kay phu, kay tao phu@
@cock a gun@|@ngang pheun@
@cock crow@|@kay khan@
@cock year (10th)@|@pi la kar@
@cock’s spur@|@deuy, deuy kay@
@cockchafer@|@meng ka nun@
@cock-fighting pit@|@săng vien@
@cockroach@|@meng sap@
@cockroaches@|@ká sab@
@Cocks fight each other@|@kay ti kan@
@cockscomb@|@day deng, deuy kay, dok hon kai, ku sum@
@cockspur@|@deu kai@
@cocktail snacks@|@khong kin lin@
@coconut@|@phao, ti net@
@coconut beetle@|@duang mak phao, duang mak phao@
@Coconut cream@|@ká ti muk pao@
@coconut frond@|@kan pao@
@coconut grater@|@kheuang kut mak phao, kheuang kut mak phao@
@coconut grater or shredder@|@ka tai kud mak phao@
@coconut grove@|@sŭa:n mark phao, sŭa:n mark phao@
@coconut husk@|@peuk mak phua@
@coconut jello@|@kha nom san@
@coconut milk@|@nàm ka thi@
@coconut oil@|@nàm man mark phao@
@coconut plam@|@phao@
@coconut rice candy@|@khao nam khok@
@Coconut shell@|@ká bpo@
@Coconut shell cup@|@ká bouy@
@coconut water@|@nàm mark phao@
@cocoon@|@hang khay@
@cod liver oil@|@nàm man tub par@
@code@|@koy la bieb, lā hard, pá muan kod mai, rā hard@
@Code of priestly discipline@|@pa: ti mok@
@coeducation@|@sá ha seuk sar@
@coefficient@|@săm pa sid, săm pa sid@
@coerce@|@kot bang khab, xai-am nard bang khab@
@coexistence@|@kan yu huam kan@
@co-father in law@|@phor dong@
@coffee@|@ka fa@
@coffee bean@|@met ka phe@
@coffee shop@|@han ka phae, hong ka phae@
@coffee spoon@|@buang ka phae@
@coffee tree@|@ton ka phae@
@coffin@|@ló:ng@
@cog@|@feung chak@
@cognizant@|@săn nhi:@
@cohabit@|@sŏm sou@
@cohabitation@|@săng vard, sŏm phard@
@cohabitation living together@|@sá ha vard@
@coiffeur@|@xang tat phom@
@coil@|@muan@
@coil or wind rope@|@muan seuk@
@coil roll up@|@khong@
@coil rope@|@muan seuk@
@coiled@|@kho@
@coin@|@ngern at, ngern ta@
@coir@|@kap phak sa li@
@coke@|@than khok@
@cold@|@nav, nyeuk nyan, si: ta la, yen, yen nao@
@cold current@|@ka sae nam nyan@
@cold food@|@khong kin yen@
@cold season@|@nyam nao, si khar ra@
@cold stream@|@ka sae nam nyan@
@cold war@|@sŏng kharm yen@
@cold water@|@nàm lar, si: ta la si: ta lo thok@
@cold wind@|@lóm nao@
@collaborate@|@huam meu, huam ngan, luam meu@
@collaborate activities@|@pá sarn tharn@
@collapse@|@fup, lòm phap, phang tha lay, tha lay, tha lay long@
@collapsed@|@pot phae@
@collar@|@khaw seua@
@collar with a decorative lotus design@|@bua khor seu@
@collateral branch@|@á nū phong@
@collect@|@hip hop, huap huam, kep hom, lem ao, luam, sá som, sāng som, torm, torm hom@
@collect alms@|@khum bat, khum bin bat@
@collect antiquities@|@sá som khong kao@
@collect federal taxes@|@kep ngern suay@
@collect interest@|@kep dok biay@
@collect money@|@pheng ngern@
@collect one’s thoughts@|@tang sa ma thi@
@collect stamps@|@thon sa taem@
@collect taxes@|@keb pha si@
@collect water@|@tong nam@
@collected@|@sá mid, săng hid@
@collecting of pentads@|@pan cha ka@
@collecting point@|@bon hom@
@collection@|@pá muan kod mai, sá mou thay, sá mút chay, săn ni thi, săng kha ha@
@collection of Buddha?s@|@vi nai pi dork@
@collection of Buddhist scriptures@|@pi ta ka@
@collection of floating weeds@|@sá va@
@collection of legends@|@ka tha ram, ka tha sa ti sa khon@
@collections@|@pan cha kam@
@collective noun@|@xeu hom@
@college@|@hong hian vi tha ya lay, vi tha nya: lai@
@collide@|@don, ká thop@
@collide with@|@pá tha, xon@
@colonel@|@ná:y phan eik, phan ek, sák hok@
@colonialism@|@lāt thi la meuang kheun@
@Colony@|@meung kheun@
@color@|@pay si, sá vi: van, si:@
@color of fresh new leaves@|@si: nhod tong@
@colorant@|@pen si@
@color-blind@|@bort si@
@colored@|@sord si:@
@colored pencil@|@din sor si, sor si:@
@colored picture@|@hup si@
@colored with many colors@|@chit ta ra vi chit@
@colorful material@|@chit ta ra kom ma phon@
@colossus@|@ma ha kay@
@colour photos@|@phap si@
@colt@|@peun kon@
@column@|@săo, than@
@com back@|@tao meu@
@coma@|@á săn nhi:, á săn nhi: pharp@
@comatose@|@bor hu chak khing@
@comb the hair@|@să:ng phom@
@combat@|@kan rap ra kha phan, kan tor su, lōp lew, săm pa harn, săm pa harn, seuk, tor ti@
@combat forces@|@kam lung rob@
@combination of letters to form word@|@ák kha ra sa may@
@combine@|@hom, huam, huam khao kan, huap huam, luam, pá korb, pá som, sá marn, si ri, song seip@
@combine consonant@|@pha yan sa na khuap@
@combine strength@|@huam heng@
@combined@|@sá mid@
@come@|@dern dan dung ma, ma, ma yer, phay@
@come about@|@kert kheun@
@come across or upon@|@phop phan@
@come after@|@ma la, ma lang@
@come along@|@thu thay kan ma@
@come alongside a wharf@|@thiap tha@
@come and chat@|@ma lin@
@come and see@|@ma ha@
@come and see !@|@ma berng mae@
@come as a guest@|@ma phen khek@
@come at last@|@ma la@
@come back@|@dai kheun ma, dern ma, kap kern ma, nī vad, sá dét kheun, tao, tao kheun, tao ma@
@come back out@|@kap ork@
@come back to life@|@tay kheun@
@come back with nothing@|@tao ma la la@
@come close@|@khao ma kay@
@come down@|@lóng mar@
@come down from@|@lóng chark@
@come from@|@lūk mar, ma chak@
@come furtively@|@yong ha@
@come here@|@ma ni, ma phi@
@come here and see@|@ma phi berng du@
@Come here!@|@ma ni mae@
@come home@|@ma ban, ma ban@
@come in@|@kha khao@
@come in a crowd@|@ma khap khang@
@come in a hurry@|@hip ma@
@come into@|@khao ma su@
@come into effect@|@phon bang khap@
@come late@|@ma sa, ma sa vay@
@come nearer@|@kay khao ma@
@come often@|@thiav ma@
@Come on!@|@ma thor@
@come past@|@kay ma@
@come slowly@|@khao, khoy ma@
@come to@|@khao ma su, sá deuak@
@come to a sudden halt@|@xángak@
@come to agreement@|@tok long doy di@
@come to an agreement@|@sor chay, tok long khuam@
@come to an end@|@sét sin long, sîn soud, sút sin long, vá:y@
@come to an understanding@|@sŏ:@
@come to for help@|@ma pherng@
@come to inform@|@ma long@
@come to present@|@ma long@
@come to see@|@ma ha@
@come to surrender@|@khao mop tua@
@come to terms@|@tok long, vào theuk tong khong kan@
@come to the help of@|@ma suay@
@come to the village@|@ma ban@
@come together@|@khao ma num@
@come up as a plant or the sun@|@xord kheun@
@come upon@|@cher@
@come upstairs@|@kheung ma therng@
@come with@|@ma nam@
@comedian@|@tua ta lok@
@comedian clown@|@khon ta lok, khon ta lok@
@comedienne@|@ná:ng la khone@
@comedy@|@lā khon ta lok@
@co-members of a conference@|@sá hai huam karn pa xoum@
@comestible@|@pen kin, pen ta kin@
@comestibles@|@pho xa, pho xa@
@comet@|@bang, dao hang, dao hang, dao kvan@
@comfluerice@|@sóp nam@
@comfort@|@lāo ló:m, lom, să:n ta va, sú kho, súk kha seuam@
@comfortable@|@á vi rūt, pha suk, phor sa bay, sá ba:y, sá nauk, sá nauk, sá nauk, sú nan, thi sa bay di@
@comfortable place@|@bon di@
@comic@|@na yak hua, ta lok, ta lok@
@comic performance@|@xuan hua@
@coming and going@|@pay mar@
@coming soon membrane located between bark and wood@|@mork@
@coming to a point@|@chuang@
@coming to stay under@|@khao ma su pho thi@
@coming up@|@tor na, xuang nar, xuang nar@
@comjunction@|@săn tharn@
@command@|@ban xa, ban xa kan, bang khap ban xa, bang khap bok, bong ban xa kan, pá kar sid, săn theid, săn thid, sāng, xai bang khab@
@commandant@|@phan ti@
@commander@|@phu bang khap kan, phu kam kap@
@commander in chief@|@sĕ: nar ni:@
@commander-in-chief@|@chom thap, chum phon, phu ban xa kan tha han@
@commanding@|@ban xa kan, phu bang khap@
@commandment@|@sik khar@
@commemorate@|@vày ar lai@
@commemorative@|@să: ra ni: nha, să: rar ni: nha@
@commemorative ceremony@|@phi thi vay a lay@
@commence@|@kor haek, pha derm@
@commend@|@săn ra seun, săn ra seun@
@commendation@|@sá dou di:, tho ma na@
@comment@|@khor ti@
@commentary@|@át tha ka thar, bot vi chan, bot vi chan@
@commerce@|@kan kha khai, kan seu kay, pha nit, vá: nit@
@commerce and people@|@ván na xard 4@
@commercial aircraft@|@kheuang bin doy san@
@commercial circles@|@vóng karn khar@
@Commercial code@|@pá muan kod mai phaeng & phar nid@
@commercial law@|@kot pha nit@
@commercial news@|@khao pha nit, khao sin kha@
@commercial school@|@hong hian pha nit ya kan@
@commercial situation@|@sá thă: nā karn thang karn khar@
@commercial survey@|@săm luad phar va karn khar@
@commercial traveler@|@phu dern thang kha khay@
@commission@|@bam nat, khá na kam ma ti kan, khā: nay na@
@commit a fault@|@het thot@
@commit a sin@|@sâ:ng barp@
@commit adultery@|@het xu, lūa:ng pa vei nee, phit mai, phit phua, phit phua phit mai@
@commit aggression@|@kao nyang, kao rao@
@commit suicide@|@ka tham at ta vi bat, ka tham at ta vi ni bat, kha tao aeng, kha tao tay@
@commit treason@|@khay ban khay meung, khay sat, khay yat@
@committed@|@khá na kam ma kan@
@committee@|@kom ma kan@
@commodity@|@pho kha phan, pho kha phan@
@common@|@să: man, să: tha la na@
@common along the streams of the dense forest@|@pat nam@
@common fish@|@pa: khao@
@common gender@|@phet huam@
@common good@|@pá nhod saun haum@
@common name for several species@|@phay@
@common people@|@bao phay, bao phay, bao phay ra sa don, phay, phay pa xa@
@common sense@|@să: man sam neuk@
@commoner@|@phon phay@
@commonwealth@|@chak ka phop, kheu chuk ka pop@
@Commonwealth@|@kheua chak ka pong@
@communicate@|@seu, seu sarn, tit tor@
@communicate frequently@|@sŭng sing@
@communication@|@kan tid tor ser san, sá mou thay, săm phan, săm phan@
@communique@|@kham tha leng, kham tha leng, kham tha leng kan, kham tha leng kan, tha laeng kan@
@communism@|@lāt thi khom miew nid, lāt thi khom mou nid@
@communist@|@kom mu nit@
@Communist or Red China@|@chin deng@
@communist political party@|@naew lao hack xard@
@community@|@sūa:n huam, vóng sung khom@
@commute@|@phon thot@
@comound provision@|@ban yat tay yang@
@compact@|@naen, thop@
@companies or regiments of soldiers@|@pha yu ha sae na@
@companion@|@á nū chon, sá ha chon, sá hai, sá khi, săm phard ta, săm phard ta, siew@
@companion of the Ramayana@|@ma ha pha ra ta@
@companions@|@pheun phoung@
@company@|@bor li sat, phong, sá mou@
@company of gods or angels@|@the pha bor ri sat@
@company officer@|@ná:y hoy@
@comparative degree@|@nying phai kaow@
@comparatively similarly@|@nya tha@
@compare@|@hoy kong, lae kan, piap, piap meun, piap thiap, thiam thaek, thiap, thiap, thiap kan@
@comparison@|@kan phiap thiap, kham thiap thiam, khuem piap thiap@
@comparison with a recollecttion or imagining@|@pá ti phark kha ni mid@
@compartmented@|@pen hong@
@compase@|@ban chong@
@compass@|@khem si hon, khem thit@
@compassion@|@hak khay, ma nut sa tham, met ta, met tap ha ni, săng sar ra, săng veid, vé: tha nar@
@compassionate@|@chay ka lu na@
@compatriot@|@pheun, pheun huam pha that@
@compel@|@bang khap bok, kha nap, kot khor@
@compendium of Buddhist law@|@tham ma sang khi ti@
@compensate@|@nyun, thot then@
@compensation@|@bia tham khvan, khā: bpoy kan, khā: seui hary, khā: tob taen@
@compensete@|@xod xai@
@compete@|@khao seng kan, kheng, kheng khan, pá kaud pá khan, sĕng, sop@
@compete contend@|@pá xan@
@compete for@|@xing xuang@
@compete for a prize@|@kheng khan@
@compete for fortune@|@kheng boun va sa na@
