@Ligurian@|@English@
@goardaspàlle (nm)@|@bodyguard@
@goardiàn@|@keeper, custodian, caretaker, doorkeeper, guardian@
@goarî@|@to heal@
@goastâ@|@to spend, to waste@
@gödî@|@to enjoy@
@gödiménto@|@enjoyment@
@goerezâ@|@to make war@
@goèrsa (volg.)@|@vagina@
@goersezâ@|@to peek (into), to peep (into)@
@goèrso@|@askew, cross-eyed@
@gòffo@|@clumsy@
@goidâ@|@to drive, to guide@
@goìdda@|@guide@
@goìggio do càn (nm)@|@dog collar@
@golôzo@|@sweet-toothed@
@gómio@|@elbow@
@gómma@|@gum, rubber@
@gondón@|@condom@
@gondón (volg.)@|@jerk (vulg.)@
@gondonàsso (volg.)@|@jerk (vulg.)@
@gonfiâ@|@to inflate, to blow up@
@Gôra@|@Gorra (SV)@
@górfo@|@gulf@
@gorìlla@|@gorilla@
@góssa@|@drop@
@gósso@|@boat@
@gòtto@|@glass (for liquid)@
@gòtto d'ægoa@|@glass of water@
@governâ@|@to govern, to rule@
@governatô@|@governor@
@govèrno@|@government@
@gràçie!@|@thank you!, thanks!@
@gradî@|@to like, to accept@
@grafîa@|@writing, spelling, orthography@
@gragnêua@|@hail@
@gràmmo@|@nasty, mean@
@Gràn Bretàgna@|@Great Britain@
@granâio@|@granary, barn@
@grànde@|@big@
@granfignâ (nf)@|@scratch@
@granfignâ (v)@|@to scratch@
@granfignéuia@|@scratch@
@grànfio@|@cramp@
@grànn-a@|@grain@
@gràscia (nf)@|@fat (n)@
@gràsso@|@fat, greasy@
@gratâ@|@to scratch, to grate@
@gratænn-a@|@grater@
@gratâse@|@to scratch oneself@
@gratoîo@|@free (costing nothing)@
@gravalón@|@bumblebee@
@grâvia (ag.f)@|@pregnant@
@Grêcia@|@Greece@
@grêgo@|@Greek@
@gremenîo@|@packed with people, crammed with people, crowded@
@grìffo e crôxe (in scê monæe)@|@heads and tails (on coins)@
@grifón@|@vulture (bird)@
@Grigheu@|@Gregory@
@grignòtto@|@blow on the face@
@grisìn@|@breadstick@
@grìtta@|@prawn, shrimp@
@grixélla@|@grill@
@grîxo@|@grey@
@grixofæro@|@grey@
@grónda@|@eaves@
@Grondónn-a@|@Grondona (Piedmont)@
@gróppo@|@knot@
@gròsso@|@thick, big@
@gròtta@|@cave, grotto@
@grùppo@|@group@
@gustâ@|@to taste@
@gustâghe@|@to like@
@gustéive@|@tasty@
@gùsto@|@taste@
@gustôzo@|@tasty@
@i (mpl)@|@the (mpl)@
@i âtri@|@the others@
@i nòstri@|@our (mpl)@
@i vòstri@|@your (you all)(mpl)@
@Iàcopo@|@James, Jacob@
@idêa@|@idea@
@ideâle@|@ideal@
@idéntico@|@identical@
@identitæ@|@identity@
@iêna@|@hyena@
@ignorànsa@|@ignorance@
@ignorànte@|@ignorant@
@Igrêxi@|@Iglesias (Sardinia)@
@Ilâia@|@Hilary (f), Hillary (f)@
@Ilâio@|@Hilary (m), Hillary (m), Hilarius@
@iléçito@|@illicit@
@ilegâle@|@illegal@
@iluminâ@|@to illuminate@
@iluminaçión@|@illumination@
@iluxón@|@illusion@
@imigrâ@|@to immigrate@
@imigraçión@|@immigration@
@imigròu@|@immigrant@
@imitâ@|@to imitate, to mimic@
@imitaçión@|@imitation@
@imitatô@|@imitator@
@in@|@in, a (m)@
@in antìçipo@|@in advance@
@in cà@|@at home@
@in cà mæ@|@in my house@
@in càngio@|@instead@
@in ciù@|@moreover, besides@
@in contànti@|@cash, in cash@
@in deschinâ@|@downhill, downward, on the way down@
@in detàlio@|@retail@
@in efètti@|@in fact@
@in etèrno@|@eternally@
@in fàccia a@|@in front of@
@in fìn di cónti@|@after all@
@in fóndo@|@after all, at the bottom@
@in galisòppo@|@limping along@
@in gànba@|@healthy, in a good state@
@in gîo@|@going for a stroll@
@in gîo a@|@around@
@in Ligùria@|@in Liguria@
@in mêgio@|@for the best@
@in menisétti@|@smashed to bits, into pieces, broken in pieces@
@in menìssi@|@smashed to bits, into pieces, broken in pieces@
@in mêzo@|@in the middle@
@in mêzo a@|@in the middle of@
@in mòddo che@|@in such a way that, so that@
@in pê@|@on foot, standing@
@in pöche paròlle@|@in a few words@
@in quànte@|@how many (f), how many (m)@
@in realtæ@|@really@
@in ritàrdo@|@delayed@
@in sa@|@this side, hither@
@in sa e in la@|@here and there@
@in scê@|@on the (fpl)@
@in sce doî pê@|@at once, instantly@
@in scê prìmme@|@at first@
@in scî@|@on the (mpl)@
@in sciâ@|@on the (fsing)@
@in sciâ fìn@|@finally@
@in sciô@|@on the (msing)@
@in sciô (av.)@|@flowering, in bloom, in flower@
@in sciô fâ da séia@|@at dusk, at nightfall, by nightfall, at sunset@
@in sciù@|@up@
@in tànto@|@meanwhile@
@in tràppa@|@in a good state@
@in zenógge@|@on one's knees@
@in zenogión@|@on one's knees@
@in zu@|@down@
@ina@|@a (f)@
@inamoâse@|@to fall in love@
@inandiâ@|@to start@
@inandiâse@|@to get going@
@inaoguraçión@|@opening@
@inaspêtòu@|@unexpected@
@inatîvo@|@inactive@
@inbalâ@|@to pack@
@inbalàggio@|@packaging@
@inbalatûa@|@packaging@
@inbaràsso@|@obstacle@
@inbösâ@|@to overturn, to capsize@
@inbrægo@|@drunk@
@inbréuggio@|@muddle, mess@
@inbriægâse@|@to get drunk@
@inbriægo@|@drunk@
@inbriægòu@|@drunk@
@inbriegón@|@drunk@
@inbrùmme@|@nuisance, obstacle@
@inbrunî@|@to get dark@
@incalâse@|@to dare@
@incantêximo@|@spell (n)@
@incénso@|@incense@
@inciagòu@|@hurt@
@inciastrâ@|@to get something dirty, to soil, to smear@
@inciàstro@|@mess, smear@
@inciastrón@|@sloppy, messy@
@incìdde@|@to carve, to record, to engrave, to affect@
@incinbriciâse@|@to primp@
@incìnta@|@pregnant@
@inciödâ@|@to nail@
@inciòstro@|@ink@
@inclùdde@|@to include@
@incolâ@|@to paste@
@inconprenscìbile@|@unintelligible, obscure, incomprehensible@
@incóntro@|@meeting@
@incrastâ@|@to castrate@
@incredìbile@|@incredible@
@indagâ@|@to investigate@
@indebolî@|@to weaken@
@inderê@|@back, behind, at the back, backwards@
@indî@|@to summon@
@Ìndia@|@India@
@indiàn@|@Indian@
@indicatîvo@|@indicative@
@ìndiçe@|@index@
@indipendénsa@|@independence@
@indipendénte@|@independent@
@indirètto@|@indirect@
@individoâle@|@individual (adj.)@
@indivìdoo@|@individual (n)@
@indòsso@|@on, on top, over@
@indovinâ@|@to guess@
@inédito@|@unpublished@
@Inêia@|@Oneglia (IM)@
@infâme@|@infamous@
@infeçión@|@infection@
@infeliçitæ@|@unhappiness@
@inferiô@|@inferior@
@infermàia@|@infirmary@
@infermitæ@|@illness@
@infèrmo@|@sick, ill@
@infèrno@|@hell@
@infervoròu@|@ecstatic@
@infetâ@|@to infect@
@infetòu@|@intected@
@infìn@|@finally, at the end@
@infinîo@|@infinite@
@infloénsa@|@influence, flu@
@informâ@|@to inform@
@informaçión@|@information@
@inganâ@|@to deceive@
@ingarbugiâ@|@to mess up@
@ingarbugiòu@|@messy, intricate@
@ingenoitæ@|@ingenuity@
@ingénoo@|@naive, ingenuous@
@Inghiltæra@|@England@
@ingiancâ@|@to whiten@
@ingianchî@|@to whiten@
@ingiöxîo@|@jealous@
@ingléixi@|@Englishmen, English (pl)@
@ingléize@|@English@
@ingoénto@|@ointment@
@ingoersî@|@to blind@
@ingösciâ@|@to fatten (animals)@
@iniçiâ@|@to start, to begin@
@inìçio@|@beginning, start@
@inluminâ@|@to illuminate@
@inluminaçión@|@illumination@
@inluxón@|@illusion@
@inménso@|@immense, huge@
@inmortalòu@|@immortalized@
@ìnno@|@hymn@
@inondâ@|@to flood@
@inondaçión@|@flooding@
@inorbî@|@to blind@
@inpaçiénsa@|@impatience@
@inparâ@|@to learn@
@inpeatô@|@emperor@
@inpedî@|@to impede@
@inpêo@|@empire@
@inperatô@|@emperor@
@inpêro@|@empire@
@inpî@|@to fill@
@inpiêgo@|@employment, job@
@inpiegòu@|@employee@
@inpónn-e@|@to impose@
@inportâ@|@to import@
@inportaçión@|@import@
@inportànte@|@important@
@inportantìscimo@|@very important@
@inposcìbile@|@impossible@
@inposesâse@|@to take possession, to seize@
@inpostâ@|@to set@
@inprénde@|@to learn@
@inpresción@|@impression@
@inprestâ@|@to lend@
@inprométte@|@to promise@
@inprovîzo@|@sudden, unexpected@
@inquetànte@|@worrying, unsettling@
@inquiêto@|@restless@
@inquinaménto@|@pollution@
@inquinòu@|@polluted@
@inrichîse@|@to become rich@
@insâ@|@to start up@
@insalàtta@|@salad@
@insciâ@|@to inflate, to blow up@
@inscidiâ@|@to set traps for@
@inscinoâ@|@to insinuate@
@ìnscio@|@swollen, blown up@
@inscìste@|@to insist@
@inscìste into@|@to insist on@
@inscrocognîo@|@curled up@
@inselâ@|@to saddle@
@insémme@|@together@
@insémme (nm)@|@group@
@insémme a@|@along with@
@Insén@|@Arenzano (GE)@
@insòlito@|@unusual@
@insoportàbile@|@unbearable@
@inspetô@|@inspector@
@insprîtâ@|@to scold@
@instâ@|@to insist, to urge, to pressure, to beg@
@instalâ@|@to install@
@insucâ@|@to sugar, to put sugar in, to add sugar to@
@insucèsso@|@failure@
@insulìnn-a@|@insulin@
@inta@|@in the (fsing)@
@inta Ligùria@|@in Liguria@
@intagiâ@|@to carve@
@intànto@|@meanwhile, by the moment@
@inte@|@in, in the (fpl)@
@inte l'@|@in the (msing)(fsing)@
@inte 'n amén@|@in an instant, in less than no time, in a moment@
@inte 'n âmen@|@in an instant, in less than no time, in a moment@
@inte 'n àtimo@|@in an instant, in less than no time, in a moment@
@inte 'n étte@|@in an instant, in less than no time, in a moment@
@inte 'n moménto@|@in a moment, in an instant, in less than no time@
@inte 'n nìnte@|@in a moment, in less than no time, in an instant@
@inte 'n sciòu@|@in an instant, in less than no time@
@inteletoâle@|@intellectual@
@inteligénsa@|@intelligence@
@inteligénte@|@intelligent@
@intençión@|@intention@
@inténde@|@to intend@
@inténde mâ@|@to misunderstand@
@intenscitæ@|@intensity@
@inténso@|@intense@
@interesànte@|@interesting@
@interesòu@|@interested@
@interèsse (nm)@|@interest@
@interieçión@|@interjection@
@internaçionâle@|@international@
@intèrno@|@internal@
@interónpe@|@to interrupt@
@interpónn-e@|@to interpose@
@intèrprete@|@interpreter@
@intervàllo@|@interval, break@
@intervénto@|@intervention@
@intestìn@|@intestine, bowel, gut@
@inti@|@in the (mpl)@
@intimidî@|@to intimidate@
@intimitæ@|@intimacy@
@ìntimo@|@intimate@
@intitolâ@|@to entitle@
@into@|@in the (msing)@
@into méntre@|@meanwhile@
@into mêzo@|@in the middle@
@intolerànte@|@intolerant@
@intonaçión@|@intonation@
@intortignâ@|@to twirl, to coil, to twine, to twist@
@intrâ (nf)@|@entrance@
@intrâ (v)@|@to enter, to get in@
@intrâghe@|@to have to do with@
@intrànte@|@next@
@intrêgo@|@whole, entire@
@intresâ@|@to twist, to interweave, to weave, to intertwine@
@intrésso@|@intertwining, tangle, trap@
@intrîgo@|@cheat, trick, tangle@
@intristî@|@to sadden, to grieve, to depress@
@intristîo@|@sad, depressed, gloomy@
@intristîse@|@to become sad@
@introduçión@|@introduction@
@inutilitæ@|@uselessness@
@invàdde@|@to invade@
@invalidâ@|@to invalidate@
@invariòu@|@unvaried, unchanged@
@invaxón@|@invasion@
@invazòu@|@obsessed@
@invêce@|@instead@
@invêce de@|@despite, in spite of@
@invegî@|@to grow old@
@invegiâ@|@to grow old@
@inveninâ@|@to poison@
@inveninòu@|@poisoned@
@inventâ@|@to invent@
@inverdugâ@|@to deceive@
@invèrno@|@winter@
@invèrso@|@inverted@
@invertî@|@to invert@
@investî@|@to invest@
@investigâ@|@to investigate@
@investigaçión@|@research@
@invexendâ (v)@|@to mix up, to mislead, to confuse, to mess up@
@invexéndo@|@mess@
@invexendòu@|@messy@
@inviâ@|@to send@
@invidiâ@|@to envy@
@invìdia@|@envy@
@invidiôzo@|@envious@
@invigilâ@|@to keep watch, to monitor@
@invitâ@|@to invite@
@invitòu@|@guest@
@invocâ@|@to invoke@
@inzegnê@|@engineer@
@inzégno@|@wit@
@inzegnôzo@|@witty@
@inzenogiâse@|@to kneel down@
@iôta@|@jute@
@ìpnoxi (nf)@|@hypnosis@
@ipotecâ@|@to mortgage@
@ipotêca@|@mortgage@
@îra@|@wrath@
@iregolâre@|@irregular@
@iritâ@|@to irritate@
@iritaçión@|@irritation@
@iritànte@|@irritating@
@Irlànda@|@Ireland@
@irlandéize@|@Irish@
@ironîa@|@irony@
@îsâ@|@to hoist, to get up@
@îsa!@|@come on!@
@îsâse@|@to get up@
@islàmico@|@Islamic@
@Islànda@|@Iceland@
@islandéize@|@Icelandic@
@isræliàn@|@Israeli@
@istìnto@|@instinct@
@istìnto de natûa@|@natural instinct@
@istitûto@|@institute@
@istroçión@|@instruction@
@istroî@|@to instruct@
@istroîo@|@educated@
@istruçión@|@instruction@
@istrutô@|@instructor@
@Itàlia@|@Italy@
@italiàn@|@Italian@
@izoâ@|@to isolate@
@ìzoa@|@island@
@Ìzoa do Cantón@|@Isola del Cantone (GE)@
@izolâ@|@to isolate@
@izolòu@|@isolated@
@izoöto@|@islet@
@izoòu@|@isolated@
@Izovèrde@|@Isoverde (GE)@
@la@|@there@
@laboratöio@|@laboratory@
@laboriôzo@|@hard worker@
@lacétto@|@sweetbread@
@Làçio@|@Latium@
@làddro@|@thief, robber@
@làddro de mâ@|@corsair, pirate@
@ladronàia@|@theft@
@lætâ@|@to milk@
@læte (nm)@|@milk@
@lagheu@|@lizard@
@làgna@|@complaint@
@lagnâse@|@to complain@
@lâgo@|@lake@
@làgrima@|@tear@
@lagùnn-a@|@lagoon@
@làico@|@laic, laical, secular@
@làlla@|@aunt@
@lamentâ@|@to regret@
@laménto@|@regret@
@làmma@|@tin@
@làmmo@|@hook@
@lanbî@|@to lick@
@lanbicâ@|@to consume@
@lanbicâse o çervéllo (fig.)@|@to search thoroughly@
@lanê@|@wool merchant@
@lànn-a@|@wool@
@l'ànno intrànte@|@next year@
@l'ànno pròscimo@|@next year@
@lànpa@|@lamp@
@lanpadìnn-a@|@light bulb@
@lanpezâ@|@to flash@
@lanpión@|@lamp, streetlight@
@lànpo@|@flash of lightning@
@lànsa@|@lance@
@lantèrna@|@lighthouse@
@Làora@|@Laura@
@lappasùcche@|@idiot, jerk (vulg.)@
@làppi (nm)@|@pencil@
@lâpri (mpl)@|@lips@
@lâpro@|@lip@
@L'Arghê@|@Alghero (Sardinia)@
@làrgo@|@wide@
@Làrvego@|@Larvego (GE)@
@lasciâ@|@to leave, to let, to quit@
@làscia pèrde!@|@don't worry!@
@làscime stâ!@|@leave me!@
@lasciù@|@there above, up there@
@làssa@|@beach@
@latìn@|@Latin@
@latonê (nm)@|@plumber@
@l'âtra@|@the other (f)@
@l'âtro@|@the other (m)@
@lavâ@|@to wash@
@Lavagnêua@|@Lavagnola (SV)@
@lavànda@|@lavender@
@Lavanèstra@|@Lavanestra (river of Savona)@
@lavéllo@|@washbasin, sink (n)@
@lavezìnn-a@|@mess tin@
@lavézzo@|@copper cauldron@
@laxèrto@|@mackerel@
@lazàgna@|@lasagna@
@lazù@|@there below, down there@
@lê@|@he, she, it@
@lê a l'é@|@she is@
@l'é ànni e ànni...@|@it's been a long time...@
@l'é ciuvûo@|@it rained@
@l'é coscì@|@it's like that, that's the way it is@
@lê o dîxe@|@he says@
@lê o fa@|@he does@
@lê o faiéiva/faiæ@|@he would do@
@lê o l'é@|@he is@
@lê o l'òçia@|@he idles@
@lê o métte@|@he puts@
@lê o pâ@|@he seems@
@lê o pariéiva/pariæ@|@he would seem@
@lê o sà@|@he knows@
@lê o variâ@|@he will be worth@
@lê o vària@|@he varies@
@l'êa l'ôa@|@it's about time@
@lecâ@|@to lick@
@lecàia@|@delight@
@léccia@|@leerfish@
@leçión@|@lesson@
@Lêco@|@Lecco (mount)@
@legâle@|@legal@
@legénda@|@legend@
@legendâio@|@legendary@
@legêra (nm)@|@delinquent, criminal, crook@
@legerménte@|@slightly@
@legión@|@legion@
@legislaçión@|@legislation@
@legìtimo@|@legitimate@
@légna@|@wood, firewood@
@légno@|@wood@
@leitâ (nm)@|@milkman@
@leitêa@|@milk jug@
@leitûga@|@lettuce@
@léloa@|@ivy@
@léngoa@|@language, tongue@
@Lengoéggia@|@Laigueglia (SV)@
@lenseu@|@sheet (bed)@
@lentìggia@|@lentil@
@leòu (nm)@|@yeast@
@lepegôzo@|@sticky@
@lêpra@|@leprosy@
@leprôzo@|@leprous@
@lèrfe (fpl)@|@lips@
@lèrfo@|@lip@
@lerfón@|@slap@
@Lèrxi@|@Lerici (SP)@
@lescîa@|@bleach@
@léscico@|@lexicon@
@lescìvia@|@bleach@
@lèsto@|@agile@
@létera@|@letter@
@leterâio@|@literary@
@létia@|@letter@
@Letìnbro@|@Letimbro (river of Savona)@
@letô@|@reader@
@létone@|@Latvian@
@Letònia@|@Latvia@
@létto@|@bed@
@Lêua@|@Loano (SV)@
@léuggio@|@darnel, furrow-weed@
@lêugo@|@toilet, WC@
@lêugo cómodo@|@toilet, WC@
@levâ@|@to withdraw, to take out, to leave@
@lêva@|@lever@
@levâ de töa@|@to clear the table@
@levâ do sô (nm)@|@sunrise@
@levànte@|@East@
@levâse da mêzo@|@to get out of the way@
@levâse da töa@|@to leave table, to get up from the table@
@levâse d'inti pê@|@to get out of the way@
@levòu@|@except@
@lêvre (nf)@|@hare@
@lexón@|@injury@
@lêze@|@to read@
@Lêze@|@Legino (SV)@
@lezénda@|@legend@
@lezendâio@|@legendary@
@lezéndia@|@legend@
@lézze@|@law@
@li@|@there@
@lîa@|@lira@
@liàmme (nm)@|@manure@
@liâtre@|@they (f)@
@liâtre són@|@the are (f)@
@liâtri@|@they (m)@
@liâtri métan@|@they put@
@liâtri sàn@|@they know (m)@
@liâtri són@|@they are (m)@
@lìbbra@|@pound@
@lìbbro@|@book@
@liberâ@|@to free, to set free@
@lìbero@|@free@
@libertæ@|@freedom, liberty@
@librâ (nm)@|@bookseller@
@libràia@|@bookshelf@
@lìcche làcche@|@more or less@
@Lîce@|@Alice@
@licensiâ@|@to fire from a job, to dismiss@
@licôre@|@liquor@
@ligatûa@|@tie@
@lìgure@|@Ligurian, Ligurian language@
@Ligùria@|@Liguria@
@lilà@|@lilac@
@lìmite@|@limit@
@limón@|@lemon@
@limoxìn@|@limousine@
@limöxina@|@alms@
@lìn@|@linen@
@lìnce (nf)@|@lynx@
@l'indomàn@|@the day after@
@lìnea@|@line@
@lìngoa@|@language, tongue@
@lìnia@|@line@
@lión@|@lion@
@liopàrdo@|@leopard@
@Lisbónn-a@|@Lisbon@
@Lisciàndria@|@Alessandria (Piedmont), Alexandria@
@Lisciàndro@|@Alexander@
@lìscio@|@smooth@
@lìsta@|@list@
@listìn (nm)@|@list@
@lîte (nf)@|@quarrel, argument, struggle@
@litigâ@|@to fight, to argue@
@litoàn@|@Lithuanian@
@Litoània@|@Lithuania@
@lîtro@|@litre@
@livéllo@|@level@
@lô@|@they, wolf@
@lôa@|@she-wolf@
@Loâmâ@|@Leamara (GE)@
@loàsso@|@sea bass (fish)@
@locâle@|@local@
@lócco@|@dumb@
@lòcco@|@dumb@
@lociâ@|@to stagger@
@lociâ a côa@|@to wag one's tail, to wag its tail@
@lödâ@|@to praise@
@lödoa@|@lark@
@Loénso@|@Lawrence@
@Lonàrdo@|@Leonard@
@Lonbardîa@|@Lombardy@
@lonbàrdo@|@Lombard (from Lombardy)@
@lónbo@|@back (animal)@
@lonbrîgo@|@earthworm@
@londinéize@|@Londoner@
@Lóndra@|@London@
@longhéssa@|@length@
@lóngo@|@long@
@lontàn@|@far, distant@
@löo@|@side@
@Lórsega@|@Lorsica (GE)@
@lótta@|@fight@
@lòtto@|@lottery@
@lòu@|@work, job@
@louâ@|@to work@
@louànte@|@worker@
@louêio@|@laboratory@
@luâ@|@to howl, to ululate@
@Lùcco@|@Luke@
@Luchìn@|@Luke@
@lùdria@|@otter@
@lùggia@|@sebaceous cyst@
@lùggio@|@July@
@lùgou@|@siskin (bird)@
@Lumàrso@|@Lumarzo (GE)@
@lumàssa@|@winkle, snail@
@lumetâ (nm)@|@skylight@
@lùmme@|@lamp, light@
@l'ùn a l'âtro@|@one another, mutually@
@lunâio@|@calendar@
@lunedì@|@Monday@
@lunesdì@|@Monday@
@lùnn-a@|@moon@
@lùnn-a pìnn-a@|@full moon@
@lûo@|@howl, shriek@
@l'ùrtima@|@the last (f)@
@l'ùrtimo@|@the last (m)@
@lùrcio@|@cross-eyed@
@lusenburghéize@|@Luxembourgish@
@Lusenbùrgo@|@Luxembourg@
@lùsou@|@barracuda (fish)@
@lùsso@|@luxury@
@lustrâ@|@to polish@
@lùstro (ag.)@|@gleaming, shiny@
@lùstro (nm)@|@luster, shine, period of five years@
@luteràn@|@Lutheran@
@lùtto@|@mourning@
@lùvego@|@gloomy@
@lûxe@|@light (n)@
@luxernâ (nm)@|@skylight@
@luxî@|@to bright, to glitter, to sparkle, to glisten, to gleam, to shine, to shine out@
@luxingâ@|@to flatter@
@luxìnga@|@flattery@
@ma@|@but@
@mâ (av.)@|@badly, bad@
@mâ (nm)@|@sea, ache, pain, ailment, illness, sickness, disease, evil, woe, damage, harm@
@mâ (nmpl)@|@seas@
@mâ de gôa (nm)@|@sore throat@
@mâ de tésta (nm)@|@headache@
@macàcco@|@monkey@
@macàia@|@sultry weather, muggy weather@
@màccia@|@stain@
@màchina@|@machine, car@
@mâcordì@|@Wednesday@
@macramê (nm)@|@towel, towel with macramé trim@
@màddre superiôa@|@mother superior@
@madonâ@|@grandmother@
@madonâva@|@grandmother@
@Madónn-a@|@Virgin@
@mæducòu@|@rude, bad-mannered@
@mæn (nm)@|@sailor@
@mænn-a@|@seashore, seaside, beach@
@mâestæ@|@majesty@
@mæximo@|@same@
@magàgna@|@ailment@
@magâra@|@maybe@
@magasìn@|@warehouse@
@magétta@|@T-shirt@
@Mageu@|@Magliolo (SV)@
@magheu@|@rock, crag@
@magiô@|@higher, greater, major, of age, elder, older@
@magiorànsa@|@majority@
@magiôre@|@higher, greater, major, of age, elder, older@
@magnâ@|@handful@
@magnæro (nm)@|@bully, toughie@
@magnìfico@|@great@
@magnìnn-a@|@little hand@
@Magnón@|@Magnone (SV)@
@magón@|@grief, distress@
@magréssa@|@thinness@
@mâgro@|@thin@
@magrón@|@diver@
@mâi@|@never, ever@
@mâi bèllo!@|@what a nice!@
@mâi ciù@|@never again@
@maiâ@|@to marry@
@Màia@|@Mary@
@maiâle (nm)@|@pig@
@maiâse@|@to get married@
@Maiétta@|@Mary@
@maiézzo@|@wedding@
@mainâ (nm)@|@sailor@
@mainæ (mpl)@|@sailors (pl)@
@mainaésco@|@seafaring (adj.), nautical@
@mainàia@|@seamanship, navigation@
@mainêa@|@way, manner@
@Mainétto@|@Mainetto (GE)@
@màio@|@husband@
@Maiolìn@|@Mary@
@Màlae@|@Mallare (SV)@
@malaménte@|@badly@
@malandæto@|@shabby, seedy, in bad condition@
@malatîa (it.)@|@ailment, illness, sickness, disease@
@maleducòu@|@rude, bad-mannered@
@malefìçio@|@curse, spell, witchcraft, spell (n)@
@malémmo (nm)@|@bully, toughie@
@Màlle@|@Mallare (SV)@
@màlva@|@mallow@
@mamà@|@mom, mum@
@màmma@|@wet-nurse, nursemaid@
@màn@|@hand, hands@
@Manaæa@|@Manarola (SP)@
@mancâ@|@to be missing@
@mància@|@tip (money)@
@mancìnn-a@|@left@
@mànco@|@not even@
@mànco mâ!@|@thank goodness!@
@mànco pe rîe!@|@no way!@
@mànco pe schèrso!@|@no way!@
@mandâ@|@to send@
@mandâ a-o confìn@|@to confine@
@mandâ di crîi@|@to shout, to yell@
@mandâ vîa@|@to dismiss@
@mandâ zû@|@to swallow@
@mandarìn@|@tangerine, Mandarin@
@mandêuvia@|@labour (force)@
@mandilâ (nm)@|@thief, delinquent, pickpocket@
@mandìllo@|@handkerchief@
@màndra de pêgoe@|@flock of sheep@
@manêa@|@way, mode@
@manéggia@|@handle@
@mànego@|@handle@
@manénte (nm)@|@farmworker@
@Manesén@|@Manesseno (GE)@
@manezâ@|@to operate, to use, to manage@
@manézzo@|@trick, ruse@
@mangiâ@|@to eat@
@mangiâ (nm)@|@food@
@mangiâ a crepapànsa@|@to eat one's fill, to eat like a horse@
@mangiâ a quàttro ganàsce@|@to eat like a horse@
@mangiâ a scciatapànsa@|@to eat one's fill, to eat like a horse@
@mangiâ a scciàttapànsa@|@to eat one's fill, to eat like a horse@
@mangiâ de repentîo@|@to regret@
@mangiâ de strangogión@|@to eat hurriedly@
@mangiâ de strangosción@|@to eat hurriedly@
@mangiâ o pàn a petón@|@to scrounge@
@mangiâ o pàn a pitón (Savona)@|@to scrounge@
@manîa@|@mania@
