@English@|@Brazilian Portuguese@
@flipper@|@barbatana, nadadeira@
@flirt@|@flerte, meneio, namoro@
@flirtation@|@paquera@
@flit@|@mudança (de domicílio)@
@float@|@bóia@
@floating@|@errante, flutuante, inconstante, instável@
@floating dock@|@doca flutuante@
@floating exchange rate@|@taxa de câmbio flutuante@
@floating rate notes@|@títulos com taxas flutuantes@
@flocculant@|@aglutinante@
@flocculated@|@aglutinado@
@flock@|@bando, floco (algodão etc), manada, rebanho@
@flood@|@cheia, dilúvio, enchente, fluxo, inundação@
@flood tide@|@maré enchente@
@floodgate@|@comporta, eclusa@
@floodgates@|@dique@
@floodlight@|@holofote, iluminação profusa@
@floodlit@|@iluminado (artificialmente)@
@floor@|@fundo (do mar), pavimento, piso, soalho, solo@
@floor lamp@|@abajur de pé@
@floor polisher (machine)@|@enceradeira@
@floozy@|@prostituta (gíria)@
@flop@|@baque, fiasco, fracasso@
@floppy@|@disquete, pendente@
@flora@|@flora@
@floral@|@floral@
@floral print@|@estampa floral@
@Florence@|@Florença@
@Florentine@|@florentino@
@floriculture@|@floricultura@
@florist@|@florista@
@floss@|@paina, penugem, seda crua@
@flotilla@|@esquadrilha@
@flotsam@|@destroços (de um naufrágio)@
@flounce@|@babado, pregueado, rebolado@
@flounder@|@linguado@
@flour@|@farinha@
@flow@|@corrente, curso, fluxo, menstruação@
@flow chart@|@fluxograma@
@flower@|@apogeu, flor, pleno vigor@
@flower bed@|@canteiro de flores@
@flower pot@|@jarra, vaso@
@flowery@|@floral@
@flu@|@gripe, influenza (vírus)@
@flue@|@cano de chaminé, conduto de ar, flauta, tubo@
@fluency@|@fluência@
@fluent@|@eloqüente, fluente@
@fluff@|@asneira, bagatela, equívoco, felpa@
@fluffy@|@felpudo, peludo, sedoso@
@fluid@|@elástico, flexível, fluido, líquido@
@fluidity@|@fluidez@
@flunk@|@fracasso, reprovação (em exame)@
@fluor@|@flúor, fluorita@
@fluorescent@|@fluorescente@
@fluorite@|@fluorita@
@fluorspar@|@fluorita@
@flush@|@descarga@
@flute@|@flauta@
@flutter@|@flutuação, meneio, tremor@
@flux@|@curso, enchente, fluência, fluxo, torrente@
@fly@|@mosca@
@flyer@|@aviador@
@flying@|@voador@
@flying colours@|@bandeiras desfraldadas@
@flying saucer@|@disco voador@
@FM (Frequency Modulation)@|@FM (Freqüência Modulada)@
@foal@|@potro@
@foam@|@espuma@
@foamy@|@espumoso@
@FOB (Free On Board)@|@FOB, posto à bordo (comércio)@
@focal@|@focal@
@focal point@|@ponto focal@
@focus@|@foco@
@fodder@|@forragem@
@foe@|@adversário, inimigo@
@foetor@|@catinga, fedor@
@fog@|@neblina, névoa@
@foggy@|@nevoento@
@foghorn@|@sereia@
@foil@|@florete, lâmina delgada, papel de alumínio, slide@
@fold-back seat@|@assento dobrável@
@folder@|@dobrador, folheto dobrado, pasta de papéis@
@folderol@|@buginganga, contra-senso@
@folding@|@dobradura@
@foliage@|@folhagem@
@folio@|@fólio, in-fólio, livro com folhas numeradas@
@folk@|@gente, música tradicional, povo, tribo@
@folk psychology@|@psicologia popular@
@follow@|@perseguição, seguimento@
@follower@|@crente, fiel, seguidor@
@following@|@perseguição, seguidores, seguinte@
@followup@|@continuação (de artigo)@
@follow-up@|@acompanhamento, reexame, revisão@
@folly@|@desatino, loucura, tolice@
@fomentation@|@fomentação, fomento, incitação, instigação@
@fond@|@afeiçoado, afetuoso, amigo, apaixonado@
@fondness@|@afeição, afeto, amor, meiguice, ternura@
@font@|@pia batismal, reservatório de lampião@
@food@|@alimentação, alimento, comida@
@food court@|@praça da alimentação@
@food safe@|@próprio para uso com alimentos@
@food-mixer@|@batedeira@
@foodstuff@|@gêneros alimentícios, víveres@
@fool@|@bobo, doido, maluco, palerma, tolo@
@foolhardy@|@apressado, incauto, precipitado@
@foolish@|@insensato, ridículo, tolo@
@foolishness@|@bobagem, idiotice, insensatez, tolice@
@foolproof@|@à prova de erros, infalível@
@foot@|@pé@
@footage@|@metragem@
@football@|@futebol americano@
@football (association)@|@futebol@
@football bladder@|@bola de futebol (americano)@
@footbridge@|@passarela (de pedestres), ponte@
@foothill@|@colina, contraforte@
@footlights@|@ribalta@
@footloose@|@livre, sem entraves@
@footnote@|@notas de rodapé@
@foot-pad (Old West slang)@|@assaltante (de pedestres)@
@footpath@|@atalho, senda, trilha, vereda@
@footprint@|@pegada@
@footstep@|@degrau, passo, pegada, pisada@
@for@|@para@
@for a change@|@para variar@
@for a song@|@à preço de banana, quase de graça@
@for a while@|@por algum tempo@
@for all that@|@com tudo isso@
@for better for worse@|@aconteça o que acontecer@
@for certain@|@com certeza@
@for free@|@de graça, grátis, na faixa (SP)@
@for fun@|@de brincadeira@
@for God sake@|@pelo amor de Deus@
@for good@|@para sempre, permanentemente@
@for instance@|@por exemplo@
@for nothing@|@à toa, de mão beijada, por nada@
@for one thing@|@por exemplo@
@for sale@|@à venda, vende-se@
@for some reason@|@por algum motivo@
@for that matter@|@até o ponto que interessa, tanto quanto importa@
@for the life of me@|@pelo amor de Deus!@
@for the sake of@|@por amor de, por causa de@
@for the time being@|@por enquanto, temporariamente@
@for want of@|@por falta de@
@forage@|@forragem, pilhagem@
@foraminifer@|@foraminífero@
@forbear@|@antepassado@
@forbearing@|@controlado, indulgente, paciente@
@forbidden@|@ilícito, interdito, proibido@
@Forbidden City@|@Cidade Proibida@
@forbidding@|@ameaçador, proibitivo@
@force@|@energia, força, motivo, vigor@
@forced@|@compulsório, exagerado, fingido, forçado@
@forced saving@|@poupança forçada@
@forceps@|@fórceps@
@ford@|@vau@
@fore@|@à prova, dianteiro, frente, parte dianteira, proa@
@forearm@|@antebraço@
@foreboding@|@agouro, presságio, pressentimento@
@forecast@|@cálculo, previsão, prognóstico, projeto@
@foreclosure@|@arresto, cobrança executiva, execução de hipoteca@
@forefather@|@antepassado@
@forefinger@|@dedo indicador@
@foregoing@|@precedente@
@foregone@|@antecedente, anterior, passado, prévio@
@foregone conclusion@|@conclusão antecipada, prejulgamento@
@foreground@|@primeiro plano@
@forehand@|@forehand (tênis)@
@forehead@|@testa@
@foreign@|@estrangeiro@
@foreign currency@|@moeda estrangeira (divisa)@
@foreign debt@|@dívida externa@
@foreign exchange@|@troca de moedas@
@foreign exchange policy@|@política cambial@
@foreign exchange transactions@|@operações de câmbio@
@foreign investment@|@investimento estrangeiro@
@foreign policy@|@política externa@
@foreign trade@|@comércio exterior@
@foreigner@|@estrangeiro@
@forelock@|@topete@
@foreman@|@capataz, chefe, contramestre@
@foremost@|@antes de tudo, primeiramente, primeiro@
@forename@|@prenome@
@forensic@|@forense@
@foreplay@|@amasso (gíria), preliminares (ao sexo)@
@forerunner@|@antecedente, antecessor, precursor@
@foresight@|@mira, prevenção, previdência, previsão, providência@
@foreskin@|@prepúcio@
@forest@|@floresta, mata@
@forester@|@guarda-florestal@
@foretaste@|@amostra, antecipação, antegozo@
@forever@|@eternamente, eternidade, para sempre@
@foreword@|@prefácio@
@forfeit@|@falta, omissão, pago como multa, pena, penalidade@
@forfeits@|@penhor@
@forge@|@forja, fornalha, fundição, usina siderúrgica@
@forgery@|@contrafação, falsificação (assinatura), mentira@
@forget it!@|@esqueça!, não ligue!@
@forgetful@|@desatento, desmemoriado, esquecido@
@forgetfulness@|@descuido, esquecimento, negligência@
@forget-me-not@|@miosótis@
@forgiveness@|@indulto, perdão@
@forgiving@|@remissório@
@forgoing@|@renúncia@
@forgotten@|@esquecido@
@fork@|@forcado, forquilha, garfo@
@forked@|@bifurcado@
@forlorn@|@abandonado, aflito, miserável@
@form@|@aspecto, forma, fôrma, formulário, maneira, ordem@
@formal@|@a rigor, cerimonioso, formal, solene@
@formality@|@formalidade@
@format@|@estrutura, formato@
@formation@|@formação@
@formative@|@formativo@
@former@|@autor, formador, matriz, moldador, molde, padrão@
@formerly@|@dantes, outrora@
@formidable@|@descomunal, formidável, tremendo@
@formula@|@fórmula@
@formula variable@|@variável de fórmula@
@fornicator@|@fornicador@
@forsaken@|@abandonado, desamparado@
@forsooth@|@na verdade, realmente@
@fort@|@castelo, forte, fortim@
@forth@|@adiante, em diante, para a frente@
@forthcoming@|@acessível, disponível, vindouro@
@forthwith@|@em seguida, incontinenti, sem demora@
@fortitude@|@coragem, firmeza, fortaleza, resistência@
@fortnight@|@quinzena@
@fortnightly@|@quinzenal@
@fortress@|@fortaleza, forte@
@fortuitous@|@fortuito@
@fortunate@|@afortunado(a), promissor@
@fortune@|@boa sorte, felicidade, fortuna@
@fortune-teller@|@adivinho, cartomante, quiromante@
@forty@|@quarenta@
@forum@|@foro, fórum@
@forward@|@atacante (futebol), atrevido, avançado(a), dianteiro, precoce@
@forward basis@|@condições de taxa a prazo@
@forward exchange@|@mercado futuro@
@forward market@|@mercado futuro@
@forwarder@|@despachante, expedidor, fomentador, promotor@
@forwarder´s fee@|@taxa do embarcador@
@forwarding agent@|@agente de embarque, despachante@
@forward-looking@|@avançado, inovativo@
@fossa@|@concavidade, fossa (anatomia)@
@fossil@|@fóssil@
@foul@|@falta, feio, ilícito, infração, sujo@
@foul kick (soccer)@|@dois-toques@
@foul play@|@desonestidade, velhacaria@
@foundation@|@alicerce, base, fundação, modelador(cinta)@
@foundationalism@|@fundacionalismo@
@founder@|@construtor, fundador@
@fountain@|@bebedouro, fonte, nascente@
@fountain pen@|@caneta-tinteiro@
@four@|@quatro@
@four-o-four (slang)@|@objeto esquecido (gíria), pessoa estúpida (gíria)@
@foursquare@|@inflexível, quadrado@
@fourteen@|@catorze@
@fourth@|@quarto(a)@
@fowl@|@ave@
@fox@|@raposa@
@foxy@|@astuto, traiçoeiro, vulpino@
@fraction@|@avo, fração@
@fragmentation@|@fragmentação@
@fragrance@|@buquê, olor@
@frail@|@débil, delicado, frágil@
@frame@|@armação, carcaça, fábrica, moldura, ordem, quadro@
@frame of mind@|@humor@
@frame problem@|@problema do enquadramento@
@frame-house@|@casa de madeira@
@framework@|@armação, estrutura, treliça, vigamento@
@France@|@França@
@franchise@|@concessão, franquia@
@frank@|@franco, honesto, liberal, salsicha (EUA)@
@frankfurter@|@salsicha alemã, salsicha de cachorro-quente@
@frankness@|@franqueza@
@frantic@|@frenético, furioso, nervoso@
@Frau (German)@|@Sra. (mulher casada)@
@fraud@|@dolo, trapaça@
@fraudulent claim@|@sinistro fraudulento (seguro)@
@frazzle@|@exausto, no bagaço (informal)@
@freak@|@aberração, excentricidade@
@freak out@|@viagem (alucinógena)@
@freckle@|@sarda@
@freckled@|@pintalgado, sardento@
@free@|@desembaraçado, grátis, gratuito, livre@
@free currency@|@moeda conversível, moeda de curso livre@
@free hand@|@liberdade de ação, ter carta branca@
@free market@|@mercado aberto, mercado livre@
@free of all average (F.A.A.)@|@livre de qualquer avaria@
@free of charge@|@grátis@
@free of charge(s) - F.O.C.@|@livre de despesas@
@free of particular average@|@livre de avaria particular@
@free on board (F.O.B.)@|@posto a bordo@
@free on rail (F.O.R.)@|@livre em vagões ferroviários@
@free on truck (F.O.T.)@|@livre em caminhões@
@free pass@|@passe@
@free trade@|@comércio livre@
@free wheeling@|@descompromisso@
@free will@|@livre arbítrio@
@freebie@|@brinde (objeto)@
@freedom@|@autonomia, independência, liberdade@
@freedom-fighter@|@combatente da liberdade@
@free-floating rationale@|@base racional descomprometida@
@freeing@|@livramento, soltura@
@freelance@|@colaborador independente@
@freelancer@|@colaborador independente@
@freeloader@|@bicão (gíria)@
@freely@|@espontaneamente, livremente@
@Freemason@|@maçon@
@Freemasonry@|@maçonaria@
@freestyle@|@nado livre@
@freezer@|@freezer, frigorífico, geladeira, refrigerador@
@freight@|@carga, fardo, frete, trem de carga@
@freight collect@|@frete a cobrar no destino, frete pagável na chegada@
@freight prepaid@|@frete pago antecipadamente@
@freight train@|@trem de carga@
@freighter@|@navio cargueiro@
@French@|@francês@
@french fries@|@batatas fritas@
@french horn@|@trompa@
@French kiss@|@beijo de língua@
@French letter@|@camisinha@
@frenzy@|@frenesi@
@fresh@|@fresca(o), madrugada, novo, puro, virgem@
@fresher@|@calouro@
@freshman@|@calouro@
@fret@|@aborrecimento, azáfama, desgaste, lamúria, palheta@
@fretful@|@aflito, inquieto, irascível, irritável, rabugento@
@friable@|@friável, quebradiço@
@friar@|@frade, frei, monge@
@fricassee@|@fricassê@
@Friday@|@sexta-feira@
@fridge@|@geladeira (informal)@
@fried@|@frito@
@fried eggs@|@ovos estrelados@
@friend@|@amigo@
@friendless@|@sem amigos@
@friendliness@|@amabilidade@
@friendly@|@amigável, amistoso@
@friendship@|@afeição, amizade@
@frieze@|@frisa, friso@
@frigate@|@fragata@
@fright@|@medo, pavor, susto@
@frightful@|@assustador, horripilante, terrível@
@frigid@|@frígido(a), frio@
@frigidity@|@frigidez@
@frigorific@|@frigorífico@
@frill@|@adorno@
@fringe@|@cercanias, franja, periferia@
@fringe benefits@|@benefícios adicionais, benefícios suplementares@
@frisk@|@revista (em busca de armas)@
@frittata (Italian)@|@fritada@
@frivolity@|@leviandade@
@frivolous@|@frívolo@
@frock@|@vestido@
@frog@|@sapo@
@frolic@|@brincadeira, travessura@
@from@|@de, desde@
@from among@|@dentre@
@from bad to worse@|@de mal a pior@
@from end to end@|@de cabo a rabo@
@from now on@|@de agora em diante, doravante@
@from this time forth@|@de ora em diante@
@from time to time@|@de vez em quando, ocasionalmente@
@from where@|@donde@
@front@|@frente, front (de batalha)@
@front desk@|@balcão de recepção (hotel)@
@front end@|@dianteiro, fachada, frontal@
@frontal@|@frontal@
@frontier@|@fronteira@
@frontispiece@|@frontispício@
@frontispiece (book)@|@rosto@
@front-runner@|@favorito@
@frost@|@frieza (sentimento), geada, gelo@
@frostbite@|@frieira@
@frosty@|@frio, gelado, indiferente@
@froth@|@espuma, ninharia@
@frozen@|@gélido@
@frugal@|@frugal@
@fruit@|@fruta, fruto@
@fruit production@|@fruticultura@
@fruit-dish@|@fruteira@
@fruitful@|@fértil, frutuoso, profícuo@
@fruition@|@fruição, usufruto@
@frustration@|@derrota, fracasso, frustração@
@fry@|@criança, fedelho@
@FUBAR (F* Beyond All Repair)@|@ferrado (gíria)@
@FUBAR(F* Up Beyond All Repair)@|@sem conserto (gíria), sem serventia (gíria)@
@fuck@|@foda (vulgar)@
@fuck!@|@caralho! (vulgar)@
@fucking@|@do caralho (vulgar)@
@fuck-wit (AUS)@|@cretino, estúpido, pessoa desprezível, verme@
@fudge@|@doce cremoso@
@fuel@|@combustível@
@fuel oil@|@óleo combustível@
@fuel pump@|@bomba de combustível@
@fugacious@|@fugaz@
@fugitive@|@fugitivo@
@fugue@|@fuga (música)@
@fulcrum@|@ponto de apoio, sustentáculo@
@fulfilled@|@cumprido, preenchido, satisfeito@
@fulfillment@|@satisfação@
@fulgent@|@fulgente@
@full@|@cheio, farto, máximo, pleno, repleto, totalidade@
@full back@|@zagueiro@
@full coverage@|@cobertura total (seguro)@
@full fare@|@tarifa cheia (turismo)@
@full load@|@carga completa@
@full score@|@partitura orquestral completa@
@full skirt@|@saia ampla, saia godê@
@full stop@|@ponto final (pontuação)@
@full-bosomed@|@curvilínea, gostosa (gíria), voluptuosa@
@full-length@|@inteiro@
@full-time@|@período integral@
@full-time job@|@emprego de expediente integral@
@fully@|@inteiramente, totalmente@
@fulness@|@abundância, fartura, plenitude, satisfação@
@fulsome@|@repelente, repugnante, servil, untuoso@
@fume@|@emanação, fumaça, fumo, gás, vapor@
@fun@|@alegria, brincadeira, diversão, gracejo, piada@
@function@|@cargo, festa, função, ocupação@
@functional@|@utilitário(a)@
@functional kind@|@categoria funcional@
@fund@|@capital, estoque, fundo, meios, recursos@
@fundamental@|@essencial, fundamental, regra, regulamento@
@fundamentalism@|@fundamentalismo@
@funds@|@capital, dinheiro disponível, fundos@
@funeral@|@funeral@
@funeral procession@|@cortejo fúnebre@
@fungicide@|@fungicida@
@fungus@|@cogumelo, fungo@
@funk@|@embaraço, medo@
@funk (music)@|@funk (música)@
@funnel@|@chaminé, funil, tubo@
@funny@|@divertido, engraçado@
@funny wagon@|@ambulância (de hospício)@
@fur@|@pele, pelúcia@
@fur coat@|@casaco de pele@
@fur collar@|@gola de pele@
@fur lining@|@forrado de pele@
@furious@|@furioso@
@fur-lined@|@forrado de pele@
@furnace@|@fornalha, forno@
@furnishings@|@mobília, utensílios domésticos@
@furniture@|@mobília@
@furore@|@furor@
@furphy (AUS)@|@caô (gíria), invencionice@
@furrow@|@ruga, sulco, verga@
@further@|@adicional, além, além do mais@
@furtherance@|@avanço, fomento, incentivo, promoção@
@furthermore@|@ademais, além disso, outrossim@
@furthermost@|@mais avançado, mais longínquo, mais remoto@
@furtive@|@furtivo@
@furuncle@|@furúnculo@
@fury@|@fúria, furor, loucura, raiva, tempestade@
@fuse@|@espoleta, fusível, rastilho@
@fuselage@|@fuselagem@
@fusillade@|@fuzilaria@
@fusion@|@fusão@
@fusion (merger)@|@incorporação@
@fuss@|@espalhafato, estardalhaço, gritaria@
@fusty@|@antiquado, embolorado, mofado, sufocante@
@futile@|@fútil, infrutífero@
@futro (future+retro)@|@futrô (futuro+retrô)@
@future@|@futuro@
@future delivery@|@operações a prazo@
@futurist@|@futurista@
@futurity@|@posteridade@
@fuzz@|@felpa, penugem@
@fuzzy@|@indistinto, penugento@
@fuzzy logic@|@lógica difusa@
@fwd (to forward)@|@remeter@
@g@|@gigabyte (Gb), gravidade (g), um mil@
@G@|@sol (nota música)@
@G.B. (Great Britain)@|@G.B. (Grã-Bretanha)@
@gabardine@|@gabardine@
@gabble@|@tagarelice@
@gable@|@cumeeira@
@gadget@|@dispositivo, gambiarra@
@Gaelic@|@gaélico@
@gaffe@|@gafe@
@gaffer@|@capataz, chefe, eletricista-chefe, patrão, veterano@
@gag@|@mordaça@
@gaga@|@apaixonado, gagá, senil@
@gage@|@gabarito, maconha, medida@
@gaiety@|@contentamento@
@gaily@|@alegremente@
@gain@|@lucro@
@gain or loss@|@ganhos ou perdas@
@gait@|@galope (de cavalo), modo de andar@
@gal@|@garota, moça@
@gala@|@de gala, festivo, pompa@
@galactic@|@galático@
@galaxy@|@galáxia@
@galere@|@facção, malta@
@gall@|@fel@
@gall bladder@|@vesícula@
@gall blader@|@vesícula biliar@
@gallant@|@audaz, cavalheiro, cortês, galante, intrépido@
