@Mam Todos Santos@|@English@
@k'ochb'il@|@chisel, black mushroom@
@k'ochil@|@perforate (We are going to perforate a house?), puncture@
@k'ocho-@|@shave@
@k'ochochon@|@easy to perforate or puncture (like soft wood)@
@k'oj@|@mask, scab@
@k'oja@|@storehouse or barn divided into sectors by partitions@
@k'ojb'al@|@means of attaching something (that is hollow inside) to the wall, to hang, to squat or crouch down@
@k'ojeb'il@|@to sit down on your heels or crouch@
@k'ojle@|@crouched, squat@
@k'ojli@|@to be seated without a seat (squatting)@
@k'ojpaj@|@to pull out, to suddenly remove something from its place@
@k'ojpil@|@detach, to separate one thing from another to which it is glued, remove@
@k'ok'aj@|@tasty, rich, delicious@
@k'ok'aj t-xewal@|@giving off a scent, fragrant@
@k'ok'j@|@aromatic, delicous, flavorful@
@k'ok'jil@|@flavor (of)@
@k'ok'jxix@|@delicious@
@k'ok'sab'il@|@condiment, spice@
@k'ok'sb'il@|@incense (for religous purposes), spice@
@k'ok'sil@|@to spice or add condiments@
@k'ok'sil ich@|@chili pepper@
@k'okel@|@is going to be@
@k'okil@|@is going to be@
@k'okila@|@will be@
@k'okjsab'il@|@incense@
@k'okoj@|@delicious, very tasty@
@k'ol@|@oak@
@k'ol!@|@Be quiet!@
@k'olb'il xb'alin@|@garment covering the body up to the middle of the thigh or at the knees and fastening at the front with buttons or with a belt used in certain professions to protect clothing or as a uniform or for reasons of hygiene and asepsis, a smock (worn by hospital workers)@
@k'ole'@|@last name, surname@
@k'olil@|@characteristic odor of something, last name of someone@
@k'on@|@timber, tree that makes good wood for construction@
@k'onil@|@will help@
@k'opil@|@to light a fire@
@k'opil q'aq'@|@to light fire for light or heat or to cook@
@k'oran@|@croak of toads@
@k'otx@|@eucaliptus and oak fruit (gumnuts and acorns)@
@k'otz-@|@quiet (uch- is a positional root)@
@k'otzeb'il@|@to become quiet, to stay still and calm@
@k'otzli@|@silence, stillness@
@k'owcha-@|@knock on a door@
@k'owe'b'il@|@to bend over, to  lower or incline the head or other part of the body like the trunk, to bend@
@k'oweb'il@|@hunker down, to crouch@
@k'owli@|@crouched, empty@
@k'ox@|@bed pan, variety of plant whose leaves are used to wrap tamalitos@
@k'oxh@|@dipper@
@k'oxol@|@to pierce the trunk of a tree with a machete or axe leaving chop marks@
@k'oy@|@anger, wrath@
@k'u'@|@keep, save, hold, retain, put away@
@k'u'b'l@|@place where something is kept (bank or storehouse or cupboard etc)@
@k'u'j@|@stomach, abdomen, middle, inside, heart of something, waist (She wore a belt around her waist)@
@k'u'jb'aj@|@abdomen, belly, stomach, waist (She had her hands on her waist)@
@k'u'jil@|@defecate (The boy went to empty his bowels in the tall grass)@
@k'u'jlal@|@to treat with respect, to treat someone with certain privileges (At mid day we arrived at his house there was a crowd but he was considerate and took care of us right away), treat or care for someone with kindness courtesy appreciation and great care (I care for my children with great care), to appreciate, to love@
@k'u'jlan@|@one who is considerate, one who is cared for with consideration, one who is esteemed, one who is dear to someone, a person that is given a lot of privileges or consideration (The children of Fredrick never learned to work because they were always treated with consideration)@
@k'u'jlil@|@to love, to appreciate@
@k'u'l@|@to keep, to save up (I have a savings account at the bank), to conserve, to reserve for later (k'u'l is the general word for saving or reserving something)@
@k'u'lb'il@|@altar, place where Mayan ceremonies are carried out, pulpit of a catholic or evangelical church@
@k'u'lil@|@to come down, to descend (There is a man that is coming down the hill)@
@k'u'yit@|@keep, store (We store our luggage in the closet), retain@
@k'u'yol@|@cassette (for tapes), audio cassette@
@k'ub'il@|@any type of instrument or utensil that is used to keep objects (cupboard or moneybox or drawer etc), barn, grain elevator, granary@
@k'ub'il pwaq@|@the bank (where money is deposited and withdrawn)@
@k'ub'il u'j@|@book case, book seller@
@k'ub'itz@|@something that is to be kept (We will keep these seeds for our crop next year)@
@k'uchejb'an@|@motorcycle@
@k'ujb'aj@|@stomach, stomach (If you don't give medicine against parasites their stomach grows), waist (We stood with our hands on our waists and elbows bent backward)@
@k'ujb'el tzomj@|@sticks used in backstrap loom called stomach or heart of the weaving@
@k'ujla'n@|@treating someone with great care, love@
@k'ujla'n qe tal k'wa'l@|@loves little children@
@k'ujla'nqe k'wal@|@loves children@
@k'ujla'nxix@|@very loved, very pleased (with someone), very precious@
@k'ujlab'il@|@a feeling of love or affection toward a person or an animal, affection, fondness, kindliness, the ability discern how someone else feels and treat their feelings and actions with respect and tolerance, to care for, understanding@
@k'ujlal@|@appreciate, love@
@k'ujlet@|@take care of@
@k'ul@|@generic name for all types of greens or herbs that are not edible, grass, herb, land covered with low vegetation, pasture, thicket, forest, tree, woodland, to conserve, to keep, to reserve for later (k'ul is the general word for saving or reserving something), to save up (I have a savings account at the bank)@
@k'ulb'il@|@Mass (There are those who don't listen during Mass), altar, to go out to meet someone, this word focuses on an encounter that is planned or by appointment, meeting place@
@k'ulil@|@to listen to Mass, to worship, to lift, to raise, to elevate (Ay Qman Dios nqo k'ulin twutza. It is you our Father God we are worshipping your face - or in front of you), name they call people who go to meet someone, to meet, to go out to meet someone, to encounter, to 'bump into someone' or encounter someone momentarily in the street@
@k'ulub'il tuj xjaw@|@menstruation@
@k'um@|@squash (hard skinned), winter squash@
@k'umalob'il yab'il@|@x-ray machine@
@k'unk'unwitz@|@ceremonial place where (supposedly) the ancesters once lived@
@k'upet@|@to cut, to cut out with scissors@
@k'upetil@|@to cut material@
@k'upil@|@decapitate (She chopped the head off the chicken and prepared it for cooking), one who decapitates (During the matanza decapitators destroyed the lives of many Mayan families in Guatemala), to cut a rope or cloth with a single hack@
@k'usil@|@to pinch off stems of tender herbs with your fingertips@
@k'uslapb'il@|@sewing machine@
@k'uspin@|@to break, to cut rope or wire@
@k'utan@|@cedar tree@
@k'ute@|@brunellia mexicana tree commonly known as cedrillo in Guatemala@
@k'ute'@|@brunellia mexicana tree commonly known as cedrillo in Guatemala@
@k'utxab'@|@Chilean myrtle (known as arrayan in Guatemala) is a medicinal bush that grows along river banks that is often used as 'live fences' to protect crops@
@k'utz@|@vulture, vulture with a black head@
@k'utzil@|@to play hooky, to skip school, to not get involved in something in order to escape a responsibility, to pretend that one doesn't understand something in order to deep from having to do something @
@k'ux@|@eat crunchy foods, edible grains that at times are cooked toasted or baked (such as corn), toasted grains@
@k'ux'bil@|@automobile, iron, metal@
@k'ux kojb'il@|@jeep@
@k'uxaq'b'il@|@wire@
@k'uxar@|@pitcher (for liquid refreshments)@
@k'uxb'aj@|@roasting ear of corn@
@k'uxb'il@|@any type of metal tool, ax, metal, truck or car@
@k'uxch'i'x@|@barbed wire@
@k'uxch'okb'il@|@tractor@
@k'uxh@|@piece (Would you like a piece of this tamale?)@
@k'uxhpib'il@|@machine that serves to cut something (meat slicer or lawnmower etc)@
@k'uxhpil@|@to cut, to decapitate, to break, this term implies the separation of the broken part from its body (The farmer cut off the chicken's head and prepared it for cooking), to carefully cut with the fingers@
@k'uxhpul@|@to cut, to decapitate, to break, this term implies the separation of the broken part from its body (The farmer cut off the chicken's head and prepared it for cooking)@
@k'uxk'o'n@|@sheet (of metal or plywood etc)@
@k'uxk'ub'@|@a very nutritious wild high grass that horses and cattle are fed@
@k'uxk'ub'il@|@large trunk (used for travel on extended stays), trunk (of a car)@
@k'uxk'uk'@|@type of grass@
@k'uxk'wil@|@pressure cooker@
@k'uxlin@|@airplane@
@k'uxu@|@eat snack foods@
@k'uxu-@|@eat snacks@
@k'uxub'aj@|@green ear of corn, green corn@
@k'uxul@|@assault, guinea pig, to chew grains such as corn or peanuts as a snack, to eat@
@k'uxul tze'jil@|@rodents@
@k'wa'@|@classifier for drinks@
@k'wa'b'aj@|@a drink, generic name for any type of beverage@
@k'wa'l@|@the boy@
@k'wa'lb'aj@|@child@
@k'wa'n@|@gatherings where food is served that are carried out during the Holy Week to commemorate the Last Supper, to drink@
@k'wa'nq'anb'il@|@syrup (medicinal - such as cough syrup)@
@k'wab'aj@|@atol (a warm drink mostly composed of corn and milk), sparkling water (carbonated water)@
@k'wab'aj i'xh@|@atol of green corn (atol is a warm drink made with milk)@
@k'wab'aj jotx'@|@atol made of a special masa (a drink)@
@k'wab'aj tzeky'@|@beer@
@k'wab'il@|@glass, the cup, tray used for feeding animals, water fountain (for drinking), whatever type of recipient used for drinking@
@k'wache'w@|@alcohol-free drink usually made with plant extracts and water and sugar that is taken cold to quench thirst@
@k'waj@|@thirst (After working for an hour in the sun one gets thirsty)@
@k'wal@|@male child of a man, son, denomination given to male children from when they learn to walk until around fifteen years old, to drink (to take refreshment)@
@k'walb'aj@|@son (of a man)@
@k'walb'il@|@stepson, stepson (of a man)@
@k'walil@|@engender or to make pregnant (this can only be said of men or male animals), to make conceive, childhood@
@k'walq'e'n@|@drunk (q'e'n liquor)@
@k'web'il@|@to squat down@
@k'wel@|@to bring down, to castigate or scold, to kill, to land (an airplane)@
@k'welix@|@I will go down (Kchink'welexe -  the K marks a potential action chin- -e marks the first person singular - k'welex means 'will go down')@
@k'wik@|@market, store, shop, place where one goes to shop where there is a diversity of products (often these are open air markets)@
@k'wil@|@pan, pot, pot (likely made of clay)@
@k'xam@|@sneeze@
@k-@|@he, she, it, you, second and third person singular absolutive marker (prefix to verbs that begin with a consonant) to indicate a potential action@
@k-elix@|@go out, leave@
@ka@|@grinding stone, if, moler (tooth), that or what, but@
@ka'@|@bad, cruel, ugly@
@ka'b'il@|@to vacillate, to hesitate, to change your attitude, to not decide, this word does not involve deception just indecision (see xmeletz'il)@
@ka'b'sil@|@to make in two, to divide in two parts or branches@
@ka'ch@|@burst grain@
@ka'j@|@sky, in two days@
@ka'kaj@|@two by two, every two@
@ka'mil@|@to vacillate, to hesitate, to change your attitude, to be unable to decide, ka'mil does not involve deception but rather indecision@
@ka'msil@|@to make in two, to divide in two parts or branches@
@ka'pun@|@to go down@
@ka'rnin k'u'j@|@to be unable to decide@
@ka'wnaq@|@forty (forty people came to the meeting)@
@ka'yb'il@|@control tower (at an airport), event, function, guard station, means or instrument used for seeing (ie magnifying glass), television, visor that extends out over some protective hats (like on a fireman's hat)@
@ka'yb'il pwaqb'il@|@debit card@
@ka'yb'il ti'jxa@|@rear view mirror (in a car)@
@ka'yb'il xtze'tz@|@circus@
@ka'yib'il@|@exam, test@
@ka'yil@|@examiner, persons that visit a fair or event, spectator, take care of (more carefully than 'lol' though both words focuses on the seeing not the care), to contemplate, to evaluate, to examine, to focus on something, to immitate through seeing, to observe, to see, to test, when ka'yil appears with the direcional xi it takes on the meaning of to see or observe (Ma txi nka'yine tej saj ti'witz I observed when he came down the mountain), when ka'yil appears with the directional ok it takes on the sense of taking care of@
@ka'yil ne'xh@|@babysitter, nanny@
@ka'yil te@|@to go to visit someone@
@ka'yil tja Dyos@|@person who cares for the sacred objects and cleaning the church as well as helping the priest at the altar, sacristan@
@ka'yilwitz@|@the technology to build lenses and instruments to correct or improve vision and the establishments where these instruments are sold@
@ka'yin@|@looking, observing, seeing, watching over or taking care of something, appears (she looks like her mother)@
@ka'yink tnexha@|@take care of your baby (ka'yin 'take care of' the -k is a directional enclitic meaning inward the t- -a mean 'you' and the nexh means 'baby')@
@ka'yinx tib'a@|@you be careful@
@Ka'yinxa txqan xjal txix@|@Look at that group of people@
@ka'yit@|@to evaluate, to examine@
@ka'yitxix@|@to carefully examine, to carefully evaluate, when preceded by ok this word takes on the meaning of taking good care of something (tok ka'yitxix b'aq'witzb'aj 'take good care of eyes'@
@ka'yixpo'tzil@|@referee@
@ka'ylaj@|@surprised@
@ka'ylil@|@to surprise, to amaze, to astonish@
@ka taja@|@if you want@
@kab'@|@two (the number), indefinite plural marker meaning 'some', second (He was second in line), candy, sweet, unrefined sugar, brown sugar, honey, cane juice extracted by hand and prepared in pieces of different shapes to be used as a sweetener (panela)@
